macamodel,rcp,zone,period,season,seasonal mean T (oC)
MIROC-ESM,rcp45,Contributing Zone,2040-2069,Spring,22.149299524943054
MIROC5,rcp45,Contributing Zone,2040-2069,Spring,21.779952118889284
MRI-CGCM3,rcp45,Contributing Zone,2040-2069,Spring,20.226083849177865
NorESM1-M,rcp45,Contributing Zone,2040-2069,Spring,21.39508854972597
bcc-csm1-1-m,rcp45,Contributing Zone,2070-2099,Spring,21.13253426619002
bcc-csm1-1,rcp45,Contributing Zone,2070-2099,Spring,20.901804949959992
BNU-ESM,rcp45,Contributing Zone,2070-2099,Spring,22.29995586543623
CanESM2,rcp45,Contributing Zone,2070-2099,Spring,22.119661191007424
CCSM4,rcp45,Contributing Zone,2070-2099,Spring,21.43516545470941
CNRM-CM5,rcp45,Contributing Zone,2070-2099,Spring,21.300335913286304
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2070-2099,Spring,21.890815936559154
GFDL-ESM2G,rcp45,Contributing Zone,2070-2099,Spring,21.466497387639983
GFDL-ESM2M,rcp45,Contributing Zone,2070-2099,Spring,20.477424848738156
HadGEM2-CC365,rcp45,Contributing Zone,2070-2099,Spring,21.933395145793167
HadGEM2-ES365,rcp45,Contributing Zone,2070-2099,Spring,21.87419242094866
inmcm4,rcp45,Contributing Zone,2070-2099,Spring,20.578807161637688
IPSL-CM5A-LR,rcp45,Contributing Zone,2070-2099,Spring,21.96374946306153
IPSL-CM5A-MR,rcp45,Contributing Zone,2070-2099,Spring,22.420578620550835
IPSL-CM5B-LR,rcp45,Contributing Zone,2070-2099,Spring,20.777695784719633
MIROC-ESM-CHEM,rcp45,Contributing Zone,2070-2099,Spring,22.500601903908183
MIROC-ESM,rcp45,Contributing Zone,2070-2099,Spring,22.917800748155553
MIROC5,rcp45,Contributing Zone,2070-2099,Spring,22.433395916473916
MRI-CGCM3,rcp45,Contributing Zone,2070-2099,Spring,20.412081086807344
NorESM1-M,rcp45,Contributing Zone,2070-2099,Spring,21.84520014583751
bcc-csm1-1-m,rcp85,Contributing Zone,1971-2000,Spring,18.862504504742056
bcc-csm1-1,rcp85,Contributing Zone,1971-2000,Spring,18.949151246167613
BNU-ESM,rcp85,Contributing Zone,1971-2000,Spring,19.029957969910974
CanESM2,rcp85,Contributing Zone,1971-2000,Spring,18.969215250351674
CCSM4,rcp85,Contributing Zone,1971-2000,Spring,19.133144934333504
CNRM-CM5,rcp85,Contributing Zone,1971-2000,Spring,18.81200013800394
CSIRO-Mk3-6-0,rcp85,Contributing Zone,1971-2000,Spring,18.755857268208768
GFDL-ESM2G,rcp85,Contributing Zone,1971-2000,Spring,18.877094726669895
GFDL-ESM2M,rcp85,Contributing Zone,1971-2000,Spring,18.874482718580133
HadGEM2-CC365,rcp85,Contributing Zone,1971-2000,Spring,18.90595329002946
HadGEM2-ES365,rcp85,Contributing Zone,1971-2000,Spring,18.743379787077092
inmcm4,rcp85,Contributing Zone,1971-2000,Spring,18.92049071440222
IPSL-CM5A-LR,rcp85,Contributing Zone,1971-2000,Spring,19.175335399991408
IPSL-CM5A-MR,rcp85,Contributing Zone,1971-2000,Spring,19.013903839681507
IPSL-CM5B-LR,rcp85,Contributing Zone,1971-2000,Spring,19.092120188773148
MIROC-ESM-CHEM,rcp85,Contributing Zone,1971-2000,Spring,18.70131480683223
MIROC-ESM,rcp85,Contributing Zone,1971-2000,Spring,19.008216379257068
MIROC5,rcp85,Contributing Zone,1971-2000,Spring,19.00948343955833
MRI-CGCM3,rcp85,Contributing Zone,1971-2000,Spring,19.10328022821074
NorESM1-M,rcp85,Contributing Zone,1971-2000,Spring,18.71245415459486
bcc-csm1-1-m,rcp85,Contributing Zone,1950-2005,Spring,18.898296719099903
bcc-csm1-1,rcp85,Contributing Zone,1950-2005,Spring,18.905954788415677
BNU-ESM,rcp85,Contributing Zone,1950-2005,Spring,18.918042894257997
CanESM2,rcp85,Contributing Zone,1950-2005,Spring,18.90417590386719
CCSM4,rcp85,Contributing Zone,1950-2005,Spring,18.896296598204742
CNRM-CM5,rcp85,Contributing Zone,1950-2005,Spring,18.909215639105334
CSIRO-Mk3-6-0,rcp85,Contributing Zone,1950-2005,Spring,18.912151230609417
GFDL-ESM2G,rcp85,Contributing Zone,1950-2005,Spring,18.904113953930935
GFDL-ESM2M,rcp85,Contributing Zone,1950-2005,Spring,18.897596314756335
HadGEM2-CC365,rcp85,Contributing Zone,1950-2005,Spring,18.935584076605004
HadGEM2-ES365,rcp85,Contributing Zone,1950-2005,Spring,18.925180110787824
inmcm4,rcp85,Contributing Zone,1950-2005,Spring,18.900673929242505
IPSL-CM5A-LR,rcp85,Contributing Zone,1950-2005,Spring,18.904854831514193
IPSL-CM5A-MR,rcp85,Contributing Zone,1950-2005,Spring,18.90542155960764
IPSL-CM5B-LR,rcp85,Contributing Zone,1950-2005,Spring,18.906839914528838
MIROC-ESM-CHEM,rcp85,Contributing Zone,1950-2005,Spring,18.9101289932532
MIROC-ESM,rcp85,Contributing Zone,1950-2005,Spring,18.905326583130126
MIROC5,rcp85,Contributing Zone,1950-2005,Spring,18.901486989230836
MRI-CGCM3,rcp85,Contributing Zone,1950-2005,Spring,18.9159251297007
NorESM1-M,rcp85,Contributing Zone,1950-2005,Spring,18.898173863351282
bcc-csm1-1-m,rcp85,Contributing Zone,2010-2039,Spring,20.14693169983375
bcc-csm1-1,rcp85,Contributing Zone,2010-2039,Spring,19.876944488561275
BNU-ESM,rcp85,Contributing Zone,2010-2039,Spring,20.591630405739707
CanESM2,rcp85,Contributing Zone,2010-2039,Spring,20.610356197606844
CCSM4,rcp85,Contributing Zone,2010-2039,Spring,20.06850325479685
CNRM-CM5,rcp85,Contributing Zone,2010-2039,Spring,19.481914795863997
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2010-2039,Spring,20.665738920271238
GFDL-ESM2G,rcp85,Contributing Zone,2010-2039,Spring,20.49986655295055
GFDL-ESM2M,rcp85,Contributing Zone,2010-2039,Spring,19.560305457109983
HadGEM2-CC365,rcp85,Contributing Zone,2010-2039,Spring,20.766971060264336
HadGEM2-ES365,rcp85,Contributing Zone,2010-2039,Spring,20.28193503773298
inmcm4,rcp85,Contributing Zone,2010-2039,Spring,19.770328782099806
IPSL-CM5A-LR,rcp85,Contributing Zone,2010-2039,Spring,20.181141405537723
IPSL-CM5A-MR,rcp85,Contributing Zone,2010-2039,Spring,20.369661340437755
IPSL-CM5B-LR,rcp85,Contributing Zone,2010-2039,Spring,19.88819477752283
MIROC-ESM-CHEM,rcp85,Contributing Zone,2010-2039,Spring,20.411867445630598
MIROC-ESM,rcp85,Contributing Zone,2010-2039,Spring,20.34213663017406
MIROC5,rcp85,Contributing Zone,2010-2039,Spring,20.661682222648416
MRI-CGCM3,rcp85,Contributing Zone,2010-2039,Spring,19.48881238772742
NorESM1-M,rcp85,Contributing Zone,2010-2039,Spring,20.566747796784068
bcc-csm1-1-m,rcp85,Contributing Zone,2040-2069,Spring,21.345146424524295
bcc-csm1-1,rcp85,Contributing Zone,2040-2069,Spring,21.992773910293295
BNU-ESM,rcp85,Contributing Zone,2040-2069,Spring,22.32873068662998
CanESM2,rcp85,Contributing Zone,2040-2069,Spring,22.171026327412612
CCSM4,rcp85,Contributing Zone,2040-2069,Spring,21.61030527827294
CNRM-CM5,rcp85,Contributing Zone,2040-2069,Spring,21.302035576793678
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2040-2069,Spring,21.54399821460914
GFDL-ESM2G,rcp85,Contributing Zone,2040-2069,Spring,22.069563978245842
GFDL-ESM2M,rcp85,Contributing Zone,2040-2069,Spring,20.941878044174725
HadGEM2-CC365,rcp85,Contributing Zone,2040-2069,Spring,22.102250502050797
HadGEM2-ES365,rcp85,Contributing Zone,2040-2069,Spring,22.47983960359041
inmcm4,rcp85,Contributing Zone,2040-2069,Spring,21.035683330055814
IPSL-CM5A-LR,rcp85,Contributing Zone,2040-2069,Spring,22.294995306148643
IPSL-CM5A-MR,rcp85,Contributing Zone,2040-2069,Spring,22.863676047411612
IPSL-CM5B-LR,rcp85,Contributing Zone,2040-2069,Spring,21.210778076838025
MIROC-ESM-CHEM,rcp85,Contributing Zone,2040-2069,Spring,22.783204929173916
MIROC-ESM,rcp85,Contributing Zone,2040-2069,Spring,21.952536971024415
MIROC5,rcp85,Contributing Zone,2040-2069,Spring,22.47204409028073
MRI-CGCM3,rcp85,Contributing Zone,2040-2069,Spring,20.84718118013403
NorESM1-M,rcp85,Contributing Zone,2040-2069,Spring,21.961597558833116
bcc-csm1-1-m,rcp85,Contributing Zone,2070-2099,Spring,22.453921016368003
bcc-csm1-1,rcp85,Contributing Zone,2070-2099,Spring,23.37627350609691
BNU-ESM,rcp85,Contributing Zone,2070-2099,Spring,24.243885419240303
CanESM2,rcp85,Contributing Zone,2070-2099,Spring,24.168223898705506
CCSM4,rcp85,Contributing Zone,2070-2099,Spring,23.1774197764759
CNRM-CM5,rcp85,Contributing Zone,2070-2099,Spring,22.793178774359852
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2070-2099,Spring,24.330198074460842
GFDL-ESM2G,rcp85,Contributing Zone,2070-2099,Spring,23.31914201034133
GFDL-ESM2M,rcp85,Contributing Zone,2070-2099,Spring,22.843543242471295
HadGEM2-CC365,rcp85,Contributing Zone,2070-2099,Spring,23.891996689417304
HadGEM2-ES365,rcp85,Contributing Zone,2070-2099,Spring,23.852204919123306
inmcm4,rcp85,Contributing Zone,2070-2099,Spring,23.122544171699385
IPSL-CM5A-LR,rcp85,Contributing Zone,2070-2099,Spring,25.025877059333187
IPSL-CM5A-MR,rcp85,Contributing Zone,2070-2099,Spring,25.188146789880424
IPSL-CM5B-LR,rcp85,Contributing Zone,2070-2099,Spring,22.62448925555435
MIROC-ESM-CHEM,rcp85,Contributing Zone,2070-2099,Spring,25.460274669424454
MIROC-ESM,rcp85,Contributing Zone,2070-2099,Spring,24.973990670358074
MIROC5,rcp85,Contributing Zone,2070-2099,Spring,24.723390879434433
MRI-CGCM3,rcp85,Contributing Zone,2070-2099,Spring,22.241369611598895
NorESM1-M,rcp85,Contributing Zone,2070-2099,Spring,23.837039160386293
bcc-csm1-1-m,rcp45,Recharge Zone,1971-2000,Summer,27.757102470823785
bcc-csm1-1,rcp45,Recharge Zone,1971-2000,Summer,27.788951794225444
BNU-ESM,rcp45,Recharge Zone,1971-2000,Summer,27.907508149278577
CanESM2,rcp45,Recharge Zone,1971-2000,Summer,27.778312938210355
CCSM4,rcp45,Recharge Zone,1971-2000,Summer,27.885420412361032
CNRM-CM5,rcp45,Recharge Zone,1971-2000,Summer,27.842071139101833
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1971-2000,Summer,27.67357195537789
GFDL-ESM2G,rcp45,Recharge Zone,1971-2000,Summer,28.05483903460162
GFDL-ESM2M,rcp45,Recharge Zone,1971-2000,Summer,27.661837118827957
HadGEM2-CC365,rcp45,Recharge Zone,1971-2000,Summer,27.603085829023087
HadGEM2-ES365,rcp45,Recharge Zone,1971-2000,Summer,27.505698472199292
inmcm4,rcp45,Recharge Zone,1971-2000,Summer,27.877346999745757
IPSL-CM5A-LR,rcp45,Recharge Zone,1971-2000,Summer,28.039053593327836
IPSL-CM5A-MR,rcp45,Recharge Zone,1971-2000,Summer,27.879337899350567
IPSL-CM5B-LR,rcp45,Recharge Zone,1971-2000,Summer,27.936574088420215
MIROC-ESM-CHEM,rcp45,Recharge Zone,1971-2000,Summer,27.80864973978191
MIROC-ESM,rcp45,Recharge Zone,1971-2000,Summer,27.6610435498392
MIROC5,rcp45,Recharge Zone,1971-2000,Summer,27.838070448059337
MRI-CGCM3,rcp45,Recharge Zone,1971-2000,Summer,27.72022978936682
NorESM1-M,rcp45,Recharge Zone,1971-2000,Summer,27.71830133733421
bcc-csm1-1-m,rcp45,Recharge Zone,1950-2005,Summer,27.77642200510886
bcc-csm1-1,rcp45,Recharge Zone,1950-2005,Summer,27.763479539648095
BNU-ESM,rcp45,Recharge Zone,1950-2005,Summer,27.774682118008805
CanESM2,rcp45,Recharge Zone,1950-2005,Summer,27.777784081436216
CCSM4,rcp45,Recharge Zone,1950-2005,Summer,27.796216880722653
CNRM-CM5,rcp45,Recharge Zone,1950-2005,Summer,27.7757654742113
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1950-2005,Summer,27.777896490791626
GFDL-ESM2G,rcp45,Recharge Zone,1950-2005,Summer,27.781272738088692
GFDL-ESM2M,rcp45,Recharge Zone,1950-2005,Summer,27.792591477616647
HadGEM2-CC365,rcp45,Recharge Zone,1950-2005,Summer,27.772804321835594
HadGEM2-ES365,rcp45,Recharge Zone,1950-2005,Summer,27.76135861015273
inmcm4,rcp45,Recharge Zone,1950-2005,Summer,27.762716541469757
IPSL-CM5A-LR,rcp45,Recharge Zone,1950-2005,Summer,27.777193929305042
IPSL-CM5A-MR,rcp45,Recharge Zone,1950-2005,Summer,27.78091299768439
IPSL-CM5B-LR,rcp45,Recharge Zone,1950-2005,Summer,27.768801023136685
MIROC-ESM-CHEM,rcp45,Recharge Zone,1950-2005,Summer,27.775544761076013
MIROC-ESM,rcp45,Recharge Zone,1950-2005,Summer,27.77544017148013
MIROC5,rcp45,Recharge Zone,1950-2005,Summer,27.76945860392791
MRI-CGCM3,rcp45,Recharge Zone,1950-2005,Summer,27.769836670803976
NorESM1-M,rcp45,Recharge Zone,1950-2005,Summer,27.798817738672945
bcc-csm1-1-m,rcp45,Recharge Zone,2010-2039,Summer,28.957158301550123
bcc-csm1-1,rcp45,Recharge Zone,2010-2039,Summer,29.547182946555193
BNU-ESM,rcp45,Recharge Zone,2010-2039,Summer,29.72754588673531
CanESM2,rcp45,Recharge Zone,2010-2039,Summer,29.856522132068168
CCSM4,rcp45,Recharge Zone,2010-2039,Summer,29.004121836433576
CNRM-CM5,rcp45,Recharge Zone,2010-2039,Summer,28.52306243776923
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2010-2039,Summer,29.12098150308798
GFDL-ESM2G,rcp45,Recharge Zone,2010-2039,Summer,29.66597653136357
GFDL-ESM2M,rcp45,Recharge Zone,2010-2039,Summer,28.83087089002546
HadGEM2-CC365,rcp45,Recharge Zone,2010-2039,Summer,29.169664750356905
HadGEM2-ES365,rcp45,Recharge Zone,2010-2039,Summer,29.4477026609013
inmcm4,rcp45,Recharge Zone,2010-2039,Summer,28.1427906052814
IPSL-CM5A-LR,rcp45,Recharge Zone,2010-2039,Summer,29.89879831407043
IPSL-CM5A-MR,rcp45,Recharge Zone,2010-2039,Summer,29.41423718258435
IPSL-CM5B-LR,rcp45,Recharge Zone,2010-2039,Summer,28.749114516165818
MIROC-ESM-CHEM,rcp45,Recharge Zone,2010-2039,Summer,29.683234635248006
MIROC-ESM,rcp45,Recharge Zone,2010-2039,Summer,28.6855277236927
MIROC5,rcp45,Recharge Zone,2010-2039,Summer,29.40238114491931
MRI-CGCM3,rcp45,Recharge Zone,2010-2039,Summer,28.328669580519588
NorESM1-M,rcp45,Recharge Zone,2010-2039,Summer,28.93347730772297
bcc-csm1-1-m,rcp45,Recharge Zone,2040-2069,Summer,29.25783046949119
bcc-csm1-1,rcp45,Recharge Zone,2040-2069,Summer,30.097756562178738
BNU-ESM,rcp45,Recharge Zone,2040-2069,Summer,30.80919791096103
CanESM2,rcp45,Recharge Zone,2040-2069,Summer,30.775301098799158
CCSM4,rcp45,Recharge Zone,2040-2069,Summer,29.740954847596754
CNRM-CM5,rcp45,Recharge Zone,2040-2069,Summer,29.24125805078885
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2040-2069,Summer,30.40593700765555
GFDL-ESM2G,rcp45,Recharge Zone,2040-2069,Summer,30.28863221340259
GFDL-ESM2M,rcp45,Recharge Zone,2040-2069,Summer,29.76284432417367
HadGEM2-CC365,rcp45,Recharge Zone,2040-2069,Summer,30.241074042220415
HadGEM2-ES365,rcp45,Recharge Zone,2040-2069,Summer,30.32137446414853
inmcm4,rcp45,Recharge Zone,2040-2069,Summer,28.43025264532981
IPSL-CM5A-LR,rcp45,Recharge Zone,2040-2069,Summer,30.890104923802976
IPSL-CM5A-MR,rcp45,Recharge Zone,2040-2069,Summer,31.19054326875595
IPSL-CM5B-LR,rcp45,Recharge Zone,2040-2069,Summer,29.474234494360225
MIROC-ESM-CHEM,rcp45,Recharge Zone,2040-2069,Summer,30.634682730597696
MIROC-ESM,rcp45,Recharge Zone,2040-2069,Summer,30.039159941356516
MIROC5,rcp45,Recharge Zone,2040-2069,Summer,30.150995069365575
MRI-CGCM3,rcp45,Recharge Zone,2040-2069,Summer,29.42338174509085
NorESM1-M,rcp45,Recharge Zone,2040-2069,Summer,30.499463057081172
bcc-csm1-1-m,rcp45,Recharge Zone,2070-2099,Summer,29.76729243393073
bcc-csm1-1,rcp45,Recharge Zone,2070-2099,Summer,30.168120211748334
BNU-ESM,rcp45,Recharge Zone,2070-2099,Summer,31.500102001786022
CanESM2,rcp45,Recharge Zone,2070-2099,Summer,31.080657848264575
CCSM4,rcp45,Recharge Zone,2070-2099,Summer,30.207161058545513
CNRM-CM5,rcp45,Recharge Zone,2070-2099,Summer,29.52653271797938
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2070-2099,Summer,31.16357047553537
GFDL-ESM2G,rcp45,Recharge Zone,2070-2099,Summer,30.761374332527673
GFDL-ESM2M,rcp45,Recharge Zone,2070-2099,Summer,29.93787015325187
HadGEM2-CC365,rcp45,Recharge Zone,2070-2099,Summer,30.636964641430033
HadGEM2-ES365,rcp45,Recharge Zone,2070-2099,Summer,30.626486889694604
inmcm4,rcp45,Recharge Zone,2070-2099,Summer,28.656082584397932
IPSL-CM5A-LR,rcp45,Recharge Zone,2070-2099,Summer,31.376209717844596
IPSL-CM5A-MR,rcp45,Recharge Zone,2070-2099,Summer,31.512537968997968
IPSL-CM5B-LR,rcp45,Recharge Zone,2070-2099,Summer,29.793182798060865
MIROC-ESM-CHEM,rcp45,Recharge Zone,2070-2099,Summer,31.07133040620656
MIROC-ESM,rcp45,Recharge Zone,2070-2099,Summer,30.912940233247582
MIROC5,rcp45,Recharge Zone,2070-2099,Summer,30.63614686926756
MRI-CGCM3,rcp45,Recharge Zone,2070-2099,Summer,29.71834690277856
NorESM1-M,rcp45,Recharge Zone,2070-2099,Summer,30.357477016435404
bcc-csm1-1-m,rcp85,Recharge Zone,1971-2000,Summer,27.757102470823785
bcc-csm1-1,rcp85,Recharge Zone,1971-2000,Summer,27.788951794225444
BNU-ESM,rcp85,Recharge Zone,1971-2000,Summer,27.907508149278577
CanESM2,rcp85,Recharge Zone,1971-2000,Summer,27.778312938210355
CCSM4,rcp85,Recharge Zone,1971-2000,Summer,27.885420412361032
CNRM-CM5,rcp85,Recharge Zone,1971-2000,Summer,27.842071139101833
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1971-2000,Summer,27.67357195537789
GFDL-ESM2G,rcp85,Recharge Zone,1971-2000,Summer,28.05483903460162
GFDL-ESM2M,rcp85,Recharge Zone,1971-2000,Summer,27.661837118827957
HadGEM2-CC365,rcp85,Recharge Zone,1971-2000,Summer,27.603085829023087
HadGEM2-ES365,rcp85,Recharge Zone,1971-2000,Summer,27.505698472199292
inmcm4,rcp85,Recharge Zone,1971-2000,Summer,27.877346999745757
IPSL-CM5A-LR,rcp85,Recharge Zone,1971-2000,Summer,28.039053593327836
IPSL-CM5A-MR,rcp85,Recharge Zone,1971-2000,Summer,27.879337899350567
IPSL-CM5B-LR,rcp85,Recharge Zone,1971-2000,Summer,27.936574088420215
MIROC-ESM-CHEM,rcp85,Recharge Zone,1971-2000,Summer,27.80864973978191
MIROC-ESM,rcp85,Recharge Zone,1971-2000,Summer,27.6610435498392
MIROC5,rcp85,Recharge Zone,1971-2000,Summer,27.838070448059337
MRI-CGCM3,rcp85,Recharge Zone,1971-2000,Summer,27.72022978936682
NorESM1-M,rcp85,Recharge Zone,1971-2000,Summer,27.71830133733421
bcc-csm1-1-m,rcp85,Recharge Zone,1950-2005,Summer,27.77642200510886
bcc-csm1-1,rcp85,Recharge Zone,1950-2005,Summer,27.763479539648095
BNU-ESM,rcp85,Recharge Zone,1950-2005,Summer,27.774682118008805
CanESM2,rcp85,Recharge Zone,1950-2005,Summer,27.777784081436216
CCSM4,rcp85,Recharge Zone,1950-2005,Summer,27.796216880722653
CNRM-CM5,rcp85,Recharge Zone,1950-2005,Summer,27.7757654742113
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1950-2005,Summer,27.777896490791626
GFDL-ESM2G,rcp85,Recharge Zone,1950-2005,Summer,27.781272738088692
GFDL-ESM2M,rcp85,Recharge Zone,1950-2005,Summer,27.792591477616647
HadGEM2-CC365,rcp85,Recharge Zone,1950-2005,Summer,27.772804321835594
HadGEM2-ES365,rcp85,Recharge Zone,1950-2005,Summer,27.76135861015273
inmcm4,rcp85,Recharge Zone,1950-2005,Summer,27.762716541469757
IPSL-CM5A-LR,rcp85,Recharge Zone,1950-2005,Summer,27.777193929305042
IPSL-CM5A-MR,rcp85,Recharge Zone,1950-2005,Summer,27.78091299768439
IPSL-CM5B-LR,rcp85,Recharge Zone,1950-2005,Summer,27.768801023136685
MIROC-ESM-CHEM,rcp85,Recharge Zone,1950-2005,Summer,27.775544761076013
MIROC-ESM,rcp85,Recharge Zone,1950-2005,Summer,27.77544017148013
MIROC5,rcp85,Recharge Zone,1950-2005,Summer,27.76945860392791
MRI-CGCM3,rcp85,Recharge Zone,1950-2005,Summer,27.769836670803976
NorESM1-M,rcp85,Recharge Zone,1950-2005,Summer,27.798817738672945
bcc-csm1-1-m,rcp85,Recharge Zone,2010-2039,Summer,28.93135523096224
bcc-csm1-1,rcp85,Recharge Zone,2010-2039,Summer,28.75743075058667
BNU-ESM,rcp85,Recharge Zone,2010-2039,Summer,29.75017861630368
CanESM2,rcp85,Recharge Zone,2010-2039,Summer,29.732972349964783
CCSM4,rcp85,Recharge Zone,2010-2039,Summer,29.118470342710555
CNRM-CM5,rcp85,Recharge Zone,2010-2039,Summer,28.667908829660295
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2010-2039,Summer,29.46032350051774
GFDL-ESM2G,rcp85,Recharge Zone,2010-2039,Summer,29.515098663002806
GFDL-ESM2M,rcp85,Recharge Zone,2010-2039,Summer,28.76902564503877
HadGEM2-CC365,rcp85,Recharge Zone,2010-2039,Summer,29.719586245277736
HadGEM2-ES365,rcp85,Recharge Zone,2010-2039,Summer,29.96055751135315
inmcm4,rcp85,Recharge Zone,2010-2039,Summer,28.22150234273812
IPSL-CM5A-LR,rcp85,Recharge Zone,2010-2039,Summer,29.627913918852467
IPSL-CM5A-MR,rcp85,Recharge Zone,2010-2039,Summer,30.09871976710169
IPSL-CM5B-LR,rcp85,Recharge Zone,2010-2039,Summer,28.89671289773308
MIROC-ESM-CHEM,rcp85,Recharge Zone,2010-2039,Summer,28.955513096746657
MIROC-ESM,rcp85,Recharge Zone,2010-2039,Summer,28.731165221961856
MIROC5,rcp85,Recharge Zone,2010-2039,Summer,29.474540466311325
MRI-CGCM3,rcp85,Recharge Zone,2010-2039,Summer,28.95443163304233
NorESM1-M,rcp85,Recharge Zone,2010-2039,Summer,29.5260219271789
bcc-csm1-1-m,rcp85,Recharge Zone,2040-2069,Summer,30.195180286765957
bcc-csm1-1,rcp85,Recharge Zone,2040-2069,Summer,30.658911379667938
BNU-ESM,rcp85,Recharge Zone,2040-2069,Summer,31.55463864142392
CanESM2,rcp85,Recharge Zone,2040-2069,Summer,31.666709314750506
CCSM4,rcp85,Recharge Zone,2040-2069,Summer,30.529417594403117
CNRM-CM5,rcp85,Recharge Zone,2040-2069,Summer,29.843177309778547
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2040-2069,Summer,31.115042809352712
GFDL-ESM2G,rcp85,Recharge Zone,2040-2069,Summer,30.932208956094758
GFDL-ESM2M,rcp85,Recharge Zone,2040-2069,Summer,30.285377693496326
HadGEM2-CC365,rcp85,Recharge Zone,2040-2069,Summer,30.787882718509348
HadGEM2-ES365,rcp85,Recharge Zone,2040-2069,Summer,31.59286945208776
inmcm4,rcp85,Recharge Zone,2040-2069,Summer,29.236458569760778
IPSL-CM5A-LR,rcp85,Recharge Zone,2040-2069,Summer,31.623992639472515
IPSL-CM5A-MR,rcp85,Recharge Zone,2040-2069,Summer,31.842462569267543
IPSL-CM5B-LR,rcp85,Recharge Zone,2040-2069,Summer,30.273438906528227
MIROC-ESM-CHEM,rcp85,Recharge Zone,2040-2069,Summer,31.093505785411914
MIROC-ESM,rcp85,Recharge Zone,2040-2069,Summer,30.40520275979232
MIROC5,rcp85,Recharge Zone,2040-2069,Summer,30.878864270667542
MRI-CGCM3,rcp85,Recharge Zone,2040-2069,Summer,30.1561122873817
NorESM1-M,rcp85,Recharge Zone,2040-2069,Summer,31.063452575054406
bcc-csm1-1-m,rcp85,Recharge Zone,2070-2099,Summer,31.92279200175843
bcc-csm1-1,rcp85,Recharge Zone,2070-2099,Summer,32.59167445602123
BNU-ESM,rcp85,Recharge Zone,2070-2099,Summer,33.106082226247615
CanESM2,rcp85,Recharge Zone,2070-2099,Summer,33.56909771500172
CCSM4,rcp85,Recharge Zone,2070-2099,Summer,31.747093847134174
CNRM-CM5,rcp85,Recharge Zone,2070-2099,Summer,31.431745155466754
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2070-2099,Summer,33.278882268250484
GFDL-ESM2G,rcp85,Recharge Zone,2070-2099,Summer,32.65543466355424
GFDL-ESM2M,rcp85,Recharge Zone,2070-2099,Summer,32.23204254373988
HadGEM2-CC365,rcp85,Recharge Zone,2070-2099,Summer,33.168001581352854
HadGEM2-ES365,rcp85,Recharge Zone,2070-2099,Summer,33.04648355343261
inmcm4,rcp85,Recharge Zone,2070-2099,Summer,30.787981067787896
IPSL-CM5A-LR,rcp85,Recharge Zone,2070-2099,Summer,34.38546088683641
IPSL-CM5A-MR,rcp85,Recharge Zone,2070-2099,Summer,34.5663065544987
IPSL-CM5B-LR,rcp85,Recharge Zone,2070-2099,Summer,31.74329722371415
MIROC-ESM-CHEM,rcp85,Recharge Zone,2070-2099,Summer,33.7179250104678
MIROC-ESM,rcp85,Recharge Zone,2070-2099,Summer,33.42532464739457
MIROC5,rcp85,Recharge Zone,2070-2099,Summer,32.80450277925745
MRI-CGCM3,rcp85,Recharge Zone,2070-2099,Summer,32.18365507468067
NorESM1-M,rcp85,Recharge Zone,2070-2099,Summer,32.0523157860491
bcc-csm1-1-m,rcp45,Contributing Zone,1971-2000,Summer,26.803662901441086
bcc-csm1-1,rcp45,Contributing Zone,1971-2000,Summer,26.847287180597146
BNU-ESM,rcp45,Contributing Zone,1971-2000,Summer,26.96412373704444
CanESM2,rcp45,Contributing Zone,1971-2000,Summer,26.831350059790136
CCSM4,rcp45,Contributing Zone,1971-2000,Summer,26.93977905445322
CNRM-CM5,rcp45,Contributing Zone,1971-2000,Summer,26.893241070896337
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1971-2000,Summer,26.734239893807064
GFDL-ESM2G,rcp45,Contributing Zone,1971-2000,Summer,27.10785632911234
GFDL-ESM2M,rcp45,Contributing Zone,1971-2000,Summer,26.7165006828339
HadGEM2-CC365,rcp45,Contributing Zone,1971-2000,Summer,26.653144060462655
HadGEM2-ES365,rcp45,Contributing Zone,1971-2000,Summer,26.5574634115447
inmcm4,rcp45,Contributing Zone,1971-2000,Summer,26.932943359166906
IPSL-CM5A-LR,rcp45,Contributing Zone,1971-2000,Summer,27.10159692802476
IPSL-CM5A-MR,rcp45,Contributing Zone,1971-2000,Summer,26.916557143803992
IPSL-CM5B-LR,rcp45,Contributing Zone,1971-2000,Summer,26.993053485828156
