macamodel,rcp,zone,period,season,seasonal mean T (oC)
MIROC5,rcp85,Recharge Zone,1971-2000,Winter,10.640111713199088
MRI-CGCM3,rcp85,Recharge Zone,1971-2000,Winter,10.456885649309521
NorESM1-M,rcp85,Recharge Zone,1971-2000,Winter,10.444875765125921
bcc-csm1-1-m,rcp85,Recharge Zone,1950-2005,Winter,10.514067224933084
bcc-csm1-1,rcp85,Recharge Zone,1950-2005,Winter,10.533150275122624
BNU-ESM,rcp85,Recharge Zone,1950-2005,Winter,10.509154655680117
CanESM2,rcp85,Recharge Zone,1950-2005,Winter,10.51946616133634
CCSM4,rcp85,Recharge Zone,1950-2005,Winter,10.551328465392245
CNRM-CM5,rcp85,Recharge Zone,1950-2005,Winter,10.546030999307513
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1950-2005,Winter,10.524573318345444
GFDL-ESM2G,rcp85,Recharge Zone,1950-2005,Winter,10.583099064445548
GFDL-ESM2M,rcp85,Recharge Zone,1950-2005,Winter,10.560767657851553
HadGEM2-CC365,rcp85,Recharge Zone,1950-2005,Winter,10.487012792710841
HadGEM2-ES365,rcp85,Recharge Zone,1950-2005,Winter,10.513858932559705
inmcm4,rcp85,Recharge Zone,1950-2005,Winter,10.598794784490726
IPSL-CM5A-LR,rcp85,Recharge Zone,1950-2005,Winter,10.528535621680735
IPSL-CM5A-MR,rcp85,Recharge Zone,1950-2005,Winter,10.505640684849865
IPSL-CM5B-LR,rcp85,Recharge Zone,1950-2005,Winter,10.544931449555106
MIROC-ESM-CHEM,rcp85,Recharge Zone,1950-2005,Winter,10.562916543543208
MIROC-ESM,rcp85,Recharge Zone,1950-2005,Winter,10.550564720593822
MIROC5,rcp85,Recharge Zone,1950-2005,Winter,10.52765178037601
MRI-CGCM3,rcp85,Recharge Zone,1950-2005,Winter,10.551376548084244
NorESM1-M,rcp85,Recharge Zone,1950-2005,Winter,10.496671901867549
bcc-csm1-1-m,rcp85,Recharge Zone,2010-2039,Winter,11.596421362710618
bcc-csm1-1,rcp85,Recharge Zone,2010-2039,Winter,11.701111727061317
BNU-ESM,rcp85,Recharge Zone,2010-2039,Winter,11.479429958630412
CanESM2,rcp85,Recharge Zone,2010-2039,Winter,11.835774224047526
CCSM4,rcp85,Recharge Zone,2010-2039,Winter,12.282654420308756
CNRM-CM5,rcp85,Recharge Zone,2010-2039,Winter,11.518901207901962
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2010-2039,Winter,11.636010447139775
GFDL-ESM2G,rcp85,Recharge Zone,2010-2039,Winter,12.088188715897996
GFDL-ESM2M,rcp85,Recharge Zone,2010-2039,Winter,11.63188658286671
HadGEM2-CC365,rcp85,Recharge Zone,2010-2039,Winter,12.533853252487182
HadGEM2-ES365,rcp85,Recharge Zone,2010-2039,Winter,12.336387586990254
inmcm4,rcp85,Recharge Zone,2010-2039,Winter,11.436580090355704
IPSL-CM5A-LR,rcp85,Recharge Zone,2010-2039,Winter,11.866442320339226
IPSL-CM5A-MR,rcp85,Recharge Zone,2010-2039,Winter,12.305319018077471
IPSL-CM5B-LR,rcp85,Recharge Zone,2010-2039,Winter,11.643044789651102
MIROC-ESM-CHEM,rcp85,Recharge Zone,2010-2039,Winter,12.084020369740418
MIROC-ESM,rcp85,Recharge Zone,2010-2039,Winter,11.510199021584178
MIROC5,rcp85,Recharge Zone,2010-2039,Winter,11.756398303684344
MRI-CGCM3,rcp85,Recharge Zone,2010-2039,Winter,10.95252331267028
NorESM1-M,rcp85,Recharge Zone,2010-2039,Winter,12.155919902146982
bcc-csm1-1-m,rcp85,Recharge Zone,2040-2069,Winter,13.103873909714073
bcc-csm1-1,rcp85,Recharge Zone,2040-2069,Winter,12.669118696595032
BNU-ESM,rcp85,Recharge Zone,2040-2069,Winter,13.459903467958355
CanESM2,rcp85,Recharge Zone,2040-2069,Winter,13.411932951960067
CCSM4,rcp85,Recharge Zone,2040-2069,Winter,13.042324323631329
CNRM-CM5,rcp85,Recharge Zone,2040-2069,Winter,13.289809946920995
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2040-2069,Winter,13.089247281687655
GFDL-ESM2G,rcp85,Recharge Zone,2040-2069,Winter,12.589879549445701
GFDL-ESM2M,rcp85,Recharge Zone,2040-2069,Winter,12.381661453870555
HadGEM2-CC365,rcp85,Recharge Zone,2040-2069,Winter,14.098236579535222
HadGEM2-ES365,rcp85,Recharge Zone,2040-2069,Winter,13.735342721665505
inmcm4,rcp85,Recharge Zone,2040-2069,Winter,12.20722246785288
IPSL-CM5A-LR,rcp85,Recharge Zone,2040-2069,Winter,13.222182974317914
IPSL-CM5A-MR,rcp85,Recharge Zone,2040-2069,Winter,13.932899639694647
IPSL-CM5B-LR,rcp85,Recharge Zone,2040-2069,Winter,12.887214906200338
MIROC-ESM-CHEM,rcp85,Recharge Zone,2040-2069,Winter,13.544791460899685
MIROC-ESM,rcp85,Recharge Zone,2040-2069,Winter,13.153934518967079
MIROC5,rcp85,Recharge Zone,2040-2069,Winter,13.387480316190215
MRI-CGCM3,rcp85,Recharge Zone,2040-2069,Winter,12.86944179289262
NorESM1-M,rcp85,Recharge Zone,2040-2069,Winter,13.506177118003551
bcc-csm1-1-m,rcp85,Recharge Zone,2070-2099,Winter,13.945231658349115
bcc-csm1-1,rcp85,Recharge Zone,2070-2099,Winter,13.783561936478494
BNU-ESM,rcp85,Recharge Zone,2070-2099,Winter,15.02755784571755
CanESM2,rcp85,Recharge Zone,2070-2099,Winter,15.232858991665333
CCSM4,rcp85,Recharge Zone,2070-2099,Winter,14.869149019864844
CNRM-CM5,rcp85,Recharge Zone,2070-2099,Winter,15.085282700157864
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2070-2099,Winter,15.296063313291647
GFDL-ESM2G,rcp85,Recharge Zone,2070-2099,Winter,13.21080708621722
