macamodel,rcp,zone,period,annual mean T(oC)
CSIRO-Mk3-6-0,rcp85,Contributing Zone,1950-2005,18.51169225683251
GFDL-ESM2G,rcp85,Contributing Zone,1950-2005,18.509678010168795
GFDL-ESM2M,rcp85,Contributing Zone,1950-2005,18.51015187332243
HadGEM2-CC365,rcp85,Contributing Zone,1950-2005,18.513950945431528
HadGEM2-ES365,rcp85,Contributing Zone,1950-2005,18.513122515995292
inmcm4,rcp85,Contributing Zone,1950-2005,18.51212096621257
IPSL-CM5A-LR,rcp85,Contributing Zone,1950-2005,18.511218449632217
IPSL-CM5A-MR,rcp85,Contributing Zone,1950-2005,18.507332213920034
IPSL-CM5B-LR,rcp85,Contributing Zone,1950-2005,18.511429792635994
MIROC-ESM-CHEM,rcp85,Contributing Zone,1950-2005,18.512275012369354
MIROC-ESM,rcp85,Contributing Zone,1950-2005,18.50726991188356
MIROC5,rcp85,Contributing Zone,1950-2005,18.51500744644782
MRI-CGCM3,rcp85,Contributing Zone,1950-2005,18.510010472986067
NorESM1-M,rcp85,Contributing Zone,1950-2005,18.507453317853788
bcc-csm1-1-m,rcp45,Recharge Zone,2010-2039,20.72952930890945
bcc-csm1-1,rcp45,Recharge Zone,2010-2039,20.773101647558256
BNU-ESM,rcp45,Recharge Zone,2010-2039,21.100689366500433
CanESM2,rcp45,Recharge Zone,2010-2039,21.364102176082245
CCSM4,rcp45,Recharge Zone,2010-2039,20.932673388267315
CNRM-CM5,rcp45,Recharge Zone,2010-2039,20.505050041046154
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2010-2039,20.869999109438496
GFDL-ESM2G,rcp45,Recharge Zone,2010-2039,21.34190066384072
GFDL-ESM2M,rcp45,Recharge Zone,2010-2039,20.411235113024176
HadGEM2-CC365,rcp45,Recharge Zone,2010-2039,21.216050232308394
HadGEM2-ES365,rcp45,Recharge Zone,2010-2039,20.99748703077761
inmcm4,rcp45,Recharge Zone,2010-2039,20.127210494121062
IPSL-CM5A-LR,rcp45,Recharge Zone,2010-2039,21.4093304724101
IPSL-CM5A-MR,rcp45,Recharge Zone,2010-2039,21.11753301277763
IPSL-CM5B-LR,rcp45,Recharge Zone,2010-2039,20.624523478695654
MIROC-ESM-CHEM,rcp45,Recharge Zone,2010-2039,21.197735130007597
MIROC-ESM,rcp45,Recharge Zone,2010-2039,20.68193881841368
MIROC5,rcp45,Recharge Zone,2010-2039,21.107065142573727
MRI-CGCM3,rcp45,Recharge Zone,2010-2039,20.143425396543755
NorESM1-M,rcp45,Recharge Zone,2010-2039,20.58025771753448
bcc-csm1-1-m,rcp85,Recharge Zone,2010-2039,20.7175950235737
bcc-csm1-1,rcp85,Recharge Zone,2010-2039,20.717284253210217
BNU-ESM,rcp85,Recharge Zone,2010-2039,21.258143562266604
CanESM2,rcp85,Recharge Zone,2010-2039,21.282856101386873
CCSM4,rcp85,Recharge Zone,2010-2039,20.965767370390594
CNRM-CM5,rcp85,Recharge Zone,2010-2039,20.32118844731525
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2010-2039,21.090016513538778
GFDL-ESM2G,rcp85,Recharge Zone,2010-2039,21.212932470264374
GFDL-ESM2M,rcp85,Recharge Zone,2010-2039,20.505825395450945
HadGEM2-CC365,rcp85,Recharge Zone,2010-2039,21.63003457440218
HadGEM2-ES365,rcp85,Recharge Zone,2010-2039,21.516258352683003
inmcm4,rcp85,Recharge Zone,2010-2039,20.27593782291213
IPSL-CM5A-LR,rcp85,Recharge Zone,2010-2039,21.067471849111108
IPSL-CM5A-MR,rcp85,Recharge Zone,2010-2039,21.512218576139635
IPSL-CM5B-LR,rcp85,Recharge Zone,2010-2039,20.629960535477615
MIROC-ESM-CHEM,rcp85,Recharge Zone,2010-2039,21.01781598988404
MIROC-ESM,rcp85,Recharge Zone,2010-2039,20.678496895701024
MIROC5,rcp85,Recharge Zone,2010-2039,21.083832885137472
MRI-CGCM3,rcp85,Recharge Zone,2010-2039,20.1775578483756
NorESM1-M,rcp85,Recharge Zone,2010-2039,21.254847307146918
bcc-csm1-1-m,rcp45,Contributing Zone,2010-2039,19.679355359106278
bcc-csm1-1,rcp45,Contributing Zone,2010-2039,19.7198121253654
BNU-ESM,rcp45,Contributing Zone,2010-2039,20.05994013545345
CanESM2,rcp45,Contributing Zone,2010-2039,20.314953213672652
CCSM4,rcp45,Contributing Zone,2010-2039,19.85048542923043
CNRM-CM5,rcp45,Contributing Zone,2010-2039,19.445699716020865
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2010-2039,19.820839483559492
GFDL-ESM2G,rcp45,Contributing Zone,2010-2039,20.287476104748027
GFDL-ESM2M,rcp45,Contributing Zone,2010-2039,19.360016336091896
HadGEM2-CC365,rcp45,Contributing Zone,2010-2039,20.147376852095377
HadGEM2-ES365,rcp45,Contributing Zone,2010-2039,19.955277596798435
inmcm4,rcp45,Contributing Zone,2010-2039,19.065201855623688
IPSL-CM5A-LR,rcp45,Contributing Zone,2010-2039,20.37204306443854
IPSL-CM5A-MR,rcp45,Contributing Zone,2010-2039,20.04776527793875
IPSL-CM5B-LR,rcp45,Contributing Zone,2010-2039,19.572530392961312
MIROC-ESM-CHEM,rcp45,Contributing Zone,2010-2039,20.156864000974466
MIROC-ESM,rcp45,Contributing Zone,2010-2039,19.623456248060698
MIROC5,rcp45,Contributing Zone,2010-2039,20.055030148625512
MRI-CGCM3,rcp45,Contributing Zone,2010-2039,19.08400676190744
NorESM1-M,rcp45,Contributing Zone,2010-2039,19.511984213717103
bcc-csm1-1-m,rcp85,Contributing Zone,2010-2039,19.664416759209818
bcc-csm1-1,rcp85,Contributing Zone,2010-2039,19.664777304704035
BNU-ESM,rcp85,Contributing Zone,2010-2039,20.211168405366287
CanESM2,rcp85,Contributing Zone,2010-2039,20.230818097890115
CCSM4,rcp85,Contributing Zone,2010-2039,19.909488882653534
CNRM-CM5,rcp85,Contributing Zone,2010-2039,19.263621638970513
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2010-2039,20.050583755900075
GFDL-ESM2G,rcp85,Contributing Zone,2010-2039,20.15325638280319
GFDL-ESM2M,rcp85,Contributing Zone,2010-2039,19.457717634163405
HadGEM2-CC365,rcp85,Contributing Zone,2010-2039,20.59382902588752
HadGEM2-ES365,rcp85,Contributing Zone,2010-2039,20.457706992534067
inmcm4,rcp85,Contributing Zone,2010-2039,19.225009390400693
IPSL-CM5A-LR,rcp85,Contributing Zone,2010-2039,20.024395765145112
IPSL-CM5A-MR,rcp85,Contributing Zone,2010-2039,20.41242952527565
IPSL-CM5B-LR,rcp85,Contributing Zone,2010-2039,19.56889848478003
MIROC-ESM-CHEM,rcp85,Contributing Zone,2010-2039,20.002327085660923
MIROC-ESM,rcp85,Contributing Zone,2010-2039,19.65382906241042
MIROC5,rcp85,Contributing Zone,2010-2039,20.0257474291591
MRI-CGCM3,rcp85,Contributing Zone,2010-2039,19.115417729085802
NorESM1-M,rcp85,Contributing Zone,2010-2039,20.202931578726805
bcc-csm1-1-m,rcp45,Recharge Zone,2040-2069,21.20942822862764
bcc-csm1-1,rcp45,Recharge Zone,2040-2069,21.437886461445277
BNU-ESM,rcp45,Recharge Zone,2040-2069,22.309710717842982
CanESM2,rcp45,Recharge Zone,2040-2069,22.339741050371913
CCSM4,rcp45,Recharge Zone,2040-2069,21.49479354066828
CNRM-CM5,rcp45,Recharge Zone,2040-2069,21.23374346807365
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2040-2069,21.893016190316928
GFDL-ESM2G,rcp45,Recharge Zone,2040-2069,21.734768637472442
GFDL-ESM2M,rcp45,Recharge Zone,2040-2069,21.226014323607732
HadGEM2-CC365,rcp45,Recharge Zone,2040-2069,22.276923511528747
HadGEM2-ES365,rcp45,Recharge Zone,2040-2069,22.37000734786271
inmcm4,rcp45,Recharge Zone,2040-2069,20.640611019907144
IPSL-CM5A-LR,rcp45,Recharge Zone,2040-2069,22.262814767326883
IPSL-CM5A-MR,rcp45,Recharge Zone,2040-2069,22.600497944622294
IPSL-CM5B-LR,rcp45,Recharge Zone,2040-2069,21.16563086753624
MIROC-ESM-CHEM,rcp45,Recharge Zone,2040-2069,22.264975963688176
MIROC-ESM,rcp45,Recharge Zone,2040-2069,21.977436859953535
MIROC5,rcp45,Recharge Zone,2040-2069,22.19452796358644
MRI-CGCM3,rcp45,Recharge Zone,2040-2069,20.831101790225112
NorESM1-M,rcp45,Recharge Zone,2040-2069,22.047416175099443
bcc-csm1-1-m,rcp85,Recharge Zone,2040-2069,22.055860870137547
bcc-csm1-1,rcp85,Recharge Zone,2040-2069,22.227056026356756
BNU-ESM,rcp85,Recharge Zone,2040-2069,23.220869267251537
CanESM2,rcp85,Recharge Zone,2040-2069,23.05001633715908
CCSM4,rcp85,Recharge Zone,2040-2069,22.307195346904386
CNRM-CM5,rcp85,Recharge Zone,2040-2069,22.009865543609997
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2040-2069,22.328806473162942
GFDL-ESM2G,rcp85,Recharge Zone,2040-2069,22.427244985490447
GFDL-ESM2M,rcp85,Recharge Zone,2040-2069,21.777740959054764
HadGEM2-CC365,rcp85,Recharge Zone,2040-2069,22.928217301338496
HadGEM2-ES365,rcp85,Recharge Zone,2040-2069,23.14886494269008
inmcm4,rcp85,Recharge Zone,2040-2069,21.420788945054255
IPSL-CM5A-LR,rcp85,Recharge Zone,2040-2069,22.849315644853892
IPSL-CM5A-MR,rcp85,Recharge Zone,2040-2069,23.424012532432332
IPSL-CM5B-LR,rcp85,Recharge Zone,2040-2069,22.0052112423008
MIROC-ESM-CHEM,rcp85,Recharge Zone,2040-2069,22.902031488114993
MIROC-ESM,rcp85,Recharge Zone,2040-2069,22.424197810170206
MIROC5,rcp85,Recharge Zone,2040-2069,22.710154242461627
MRI-CGCM3,rcp85,Recharge Zone,2040-2069,21.703346813913367
NorESM1-M,rcp85,Recharge Zone,2040-2069,22.673116343781142
bcc-csm1-1-m,rcp45,Contributing Zone,2040-2069,20.165604708282387
bcc-csm1-1,rcp45,Contributing Zone,2040-2069,20.399890989053844
BNU-ESM,rcp45,Contributing Zone,2040-2069,21.223660200407355
CanESM2,rcp45,Contributing Zone,2040-2069,21.28882259122014
CCSM4,rcp45,Contributing Zone,2040-2069,20.42170513102076
CNRM-CM5,rcp45,Contributing Zone,2040-2069,20.182038247324748
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2040-2069,20.852950600844625
GFDL-ESM2G,rcp45,Contributing Zone,2040-2069,20.69470256944418
