,Winter,Spring,Summer,Fall,period,rcp,zone
MIROC-ESM,4.216515820853347,7.6900554409742226,8.382785405558463,7.988677909969806,1950-2005,rcp85,Recharge Zone
MIROC5,4.221881827102495,7.75231194040276,8.35964336223467,7.94927839834642,1950-2005,rcp85,Recharge Zone
MRI-CGCM3,4.1919425340628615,7.783226522554609,8.394615704377813,7.898881053148904,1950-2005,rcp85,Recharge Zone
NorESM1-M,4.20045397868132,7.721391757227397,8.38350064719675,7.970833725508453,1950-2005,rcp85,Recharge Zone
bcc-csm1-1-m,4.2634453677586155,7.460804622611515,7.606289148546422,9.106688402356035,2010-2039,rcp85,Recharge Zone
bcc-csm1-1,4.530541619382332,7.099083719844075,10.518470827204505,8.36042695423677,2010-2039,rcp85,Recharge Zone
BNU-ESM,4.816074999930391,7.767734297038416,7.276024451089913,7.482732268335266,2010-2039,rcp85,Recharge Zone
CanESM2,3.5078590102005123,8.83965675002523,9.032626680054024,7.607350722835602,2010-2039,rcp85,Recharge Zone
CCSM4,4.207859644163366,8.532279089594581,9.392510776858524,8.692919798449008,2010-2039,rcp85,Recharge Zone
CNRM-CM5,4.445124502969745,8.301846717796275,10.296241865472012,8.372886667367196,2010-2039,rcp85,Recharge Zone
CSIRO-Mk3-6-0,4.501556916017765,6.666889323138683,7.065800903713346,8.197072709559077,2010-2039,rcp85,Recharge Zone
GFDL-ESM2G,3.5332499487258646,6.4613153568831585,8.35022756459121,8.209863350574976,2010-2039,rcp85,Recharge Zone
GFDL-ESM2M,3.85529792391642,7.899714445316881,10.752297724081034,8.369399315604154,2010-2039,rcp85,Recharge Zone
HadGEM2-CC365,4.333560626131299,6.598801242694915,9.273568216614366,7.880125870976353,2010-2039,rcp85,Recharge Zone
HadGEM2-ES365,4.502189997868478,8.32258693922043,7.343570085434177,7.903606043071481,2010-2039,rcp85,Recharge Zone
inmcm4,4.346600951010074,7.0002343974894305,8.367902798639832,8.402215381834813,2010-2039,rcp85,Recharge Zone
IPSL-CM5A-LR,3.4655020454517955,7.463826445632013,8.575694736396919,8.057058303859137,2010-2039,rcp85,Recharge Zone
IPSL-CM5A-MR,3.187736555043611,6.370999163786106,6.509386658926174,6.334778392886634,2010-2039,rcp85,Recharge Zone
IPSL-CM5B-LR,5.269292325964471,8.436518016996963,8.84873887717367,9.76496324147928,2010-2039,rcp85,Recharge Zone
MIROC-ESM-CHEM,3.9691737426298683,8.59104654884161,9.583809714199536,7.4151547223458,2010-2039,rcp85,Recharge Zone
MIROC-ESM,4.279760503233432,8.109205569119057,10.075066649407807,9.13370948518384,2010-2039,rcp85,Recharge Zone
MIROC5,4.594850150764817,7.64922690307306,9.977729074719562,6.83585122089263,2010-2039,rcp85,Recharge Zone
MRI-CGCM3,4.0554617775778965,6.707627388682889,10.511817681471358,9.502388205466817,2010-2039,rcp85,Recharge Zone
NorESM1-M,4.238266238639314,7.521770704269634,9.286713039144965,7.4500927520572695,2010-2039,rcp85,Recharge Zone
bcc-csm1-1-m,4.104123735260884,8.005697189016338,6.991308963238714,9.137367040943825,2040-2069,rcp85,Recharge Zone
bcc-csm1-1,4.243939914083472,6.551763061978005,7.818864926735895,9.766299838091411,2040-2069,rcp85,Recharge Zone
BNU-ESM,4.128828209511853,7.432977327025859,8.56480381580353,6.218088513835033,2040-2069,rcp85,Recharge Zone
CanESM2,3.8147160069900834,7.57181288724569,8.59106488734603,8.721036333417915,2040-2069,rcp85,Recharge Zone
CCSM4,4.260789226595179,8.189484889261037,7.880125408508574,7.422954109835614,2040-2069,rcp85,Recharge Zone
CNRM-CM5,4.126278361573592,7.311195745541047,8.373668555570555,7.612063631200276,2040-2069,rcp85,Recharge Zone
CSIRO-Mk3-6-0,3.779945338947159,8.40618681684129,9.25157081390799,7.849346396486141,2040-2069,rcp85,Recharge Zone
GFDL-ESM2G,3.6496230277689223,6.910835675449088,8.015696328189343,7.40447855750772,2040-2069,rcp85,Recharge Zone
GFDL-ESM2M,4.3572958860117295,8.713547946348411,9.228259933191383,7.025608910588658,2040-2069,rcp85,Recharge Zone
HadGEM2-CC365,4.169581324649622,8.625580591560247,8.595243060196834,9.848063164314722,2040-2069,rcp85,Recharge Zone
HadGEM2-ES365,4.029078696201018,7.682982402455206,5.674686641546306,9.505961971437298,2040-2069,rcp85,Recharge Zone
inmcm4,3.974602368591139,7.3350103400635485,10.107097724982054,6.821140805282609,2040-2069,rcp85,Recharge Zone
