,1971-2000,1950-2005,2010-2039,2040-2069,2070-2099,rcp,zone
CSIRO-Mk3-6-0,18.321233566743633,18.51169225683251,20.050583755900075,21.280860439140554,23.69249931110581,rcp85,Contributing Zone
GFDL-ESM2G,18.586687156351513,18.509678010168795,20.15325638280319,21.37154638725998,22.648162038529037,rcp85,Contributing Zone
GFDL-ESM2M,18.463493494300447,18.51015187332243,19.457717634163405,20.729140749206653,22.454056694641675,rcp85,Contributing Zone
HadGEM2-CC365,18.373083311050376,18.513950945431528,20.59382902588752,21.859919830894057,24.018004285001098,rcp85,Contributing Zone
HadGEM2-ES365,18.26932354817052,18.513122515995292,20.457706992534067,22.136371201360184,23.763860830132952,rcp85,Contributing Zone
inmcm4,18.555161799621246,18.51212096621257,19.225009390400693,20.38867307286876,22.19970051186732,rcp85,Contributing Zone
IPSL-CM5A-LR,18.768412725025616,18.511218449632217,20.024395765145112,21.804835182194314,24.642631817133726,rcp85,Contributing Zone
IPSL-CM5A-MR,18.592026497342793,18.507332213920034,20.41242952527565,22.3241836084178,24.992090329579703,rcp85,Contributing Zone
IPSL-CM5B-LR,18.574590325030446,18.511429792635994,19.56889848478003,20.944213379928748,22.310815642128038,rcp85,Contributing Zone
MIROC-ESM-CHEM,18.48890331636637,18.512275012369354,20.002327085660923,21.895621017350443,24.424200984688692,rcp85,Contributing Zone
MIROC-ESM,18.516221971569493,18.50726991188356,19.65382906241042,21.4130739927522,23.88643294274555,rcp85,Contributing Zone
MIROC5,18.652138891919368,18.51500744644782,20.0257474291591,21.668260031105394,23.686973704216648,rcp85,Contributing Zone
MRI-CGCM3,18.50085796613364,18.510010472986067,19.115417729085802,20.629836664637104,22.137256616217886,rcp85,Contributing Zone
NorESM1-M,18.393814485684086,18.507453317853788,20.202931578726805,21.616500419042122,23.389511493002797,rcp85,Contributing Zone
