macamodel,rcp,zone,period,annual mean P (in)
bcc-csm1-1-m,rcp45,Recharge Zone,2010-2039,28.15930212008553
bcc-csm1-1,rcp45,Recharge Zone,2010-2039,28.602138046325962
BNU-ESM,rcp45,Recharge Zone,2010-2039,27.70923571466775
CanESM2,rcp45,Recharge Zone,2010-2039,27.45351628736673
CCSM4,rcp45,Recharge Zone,2010-2039,29.366764539857996
CNRM-CM5,rcp45,Recharge Zone,2010-2039,27.42450615508508
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2010-2039,28.2991497446812
GFDL-ESM2G,rcp45,Recharge Zone,2010-2039,25.335272942323734
GFDL-ESM2M,rcp45,Recharge Zone,2010-2039,29.858025145681353
HadGEM2-CC365,rcp45,Recharge Zone,2010-2039,27.291135999171956
HadGEM2-ES365,rcp45,Recharge Zone,2010-2039,27.019223115163975
inmcm4,rcp45,Recharge Zone,2010-2039,28.818487178300128
IPSL-CM5A-LR,rcp45,Recharge Zone,2010-2039,24.36002403513977
IPSL-CM5A-MR,rcp45,Recharge Zone,2010-2039,29.795587236817507
IPSL-CM5B-LR,rcp45,Recharge Zone,2010-2039,30.772106881044763
MIROC-ESM-CHEM,rcp45,Recharge Zone,2010-2039,25.228422486472894
MIROC-ESM,rcp45,Recharge Zone,2010-2039,32.54243335160026
MIROC5,rcp45,Recharge Zone,2010-2039,27.15653135249835
MRI-CGCM3,rcp45,Recharge Zone,2010-2039,28.93771144944444
NorESM1-M,rcp45,Recharge Zone,2010-2039,29.483663040632052
bcc-csm1-1-m,rcp85,Recharge Zone,2010-2039,28.43722754127259
bcc-csm1-1,rcp85,Recharge Zone,2010-2039,30.508523120667682
BNU-ESM,rcp85,Recharge Zone,2010-2039,27.34256601639399
CanESM2,rcp85,Recharge Zone,2010-2039,28.987493163115385
CCSM4,rcp85,Recharge Zone,2010-2039,30.82556930906548
CNRM-CM5,rcp85,Recharge Zone,2010-2039,31.41609975360522
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2010-2039,26.431319852428878
GFDL-ESM2G,rcp85,Recharge Zone,2010-2039,26.554656220775207
GFDL-ESM2M,rcp85,Recharge Zone,2010-2039,30.876709408918483
HadGEM2-CC365,rcp85,Recharge Zone,2010-2039,28.08605595641693
HadGEM2-ES365,rcp85,Recharge Zone,2010-2039,28.071953065594556
inmcm4,rcp85,Recharge Zone,2010-2039,28.116953528974154
IPSL-CM5A-LR,rcp85,Recharge Zone,2010-2039,27.56208153133986
IPSL-CM5A-MR,rcp85,Recharge Zone,2010-2039,22.402900770642525
IPSL-CM5B-LR,rcp85,Recharge Zone,2010-2039,32.31951246161439
MIROC-ESM-CHEM,rcp85,Recharge Zone,2010-2039,29.559184728016817
MIROC-ESM,rcp85,Recharge Zone,2010-2039,31.597742206944123
MIROC5,rcp85,Recharge Zone,2010-2039,29.05765734945007
MRI-CGCM3,rcp85,Recharge Zone,2010-2039,30.77729505319896
NorESM1-M,rcp85,Recharge Zone,2010-2039,28.496842734111187
bcc-csm1-1-m,rcp45,Contributing Zone,2010-2039,29.546326888386556
bcc-csm1-1,rcp45,Contributing Zone,2010-2039,30.276150090535765
BNU-ESM,rcp45,Contributing Zone,2010-2039,29.45995586047854
CanESM2,rcp45,Contributing Zone,2010-2039,29.18511625471696
CCSM4,rcp45,Contributing Zone,2010-2039,30.755252402830575
CNRM-CM5,rcp45,Contributing Zone,2010-2039,28.960447078151198
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2010-2039,29.88739453097004
GFDL-ESM2G,rcp45,Contributing Zone,2010-2039,26.91587251755975
GFDL-ESM2M,rcp45,Contributing Zone,2010-2039,31.73078146643918
HadGEM2-CC365,rcp45,Contributing Zone,2010-2039,28.69323880242606
HadGEM2-ES365,rcp45,Contributing Zone,2010-2039,28.55396494140241
inmcm4,rcp45,Contributing Zone,2010-2039,30.38450191987885
IPSL-CM5A-LR,rcp45,Contributing Zone,2010-2039,25.828793669387647
IPSL-CM5A-MR,rcp45,Contributing Zone,2010-2039,31.139936441160675
IPSL-CM5B-LR,rcp45,Contributing Zone,2010-2039,32.65761623089091
MIROC-ESM-CHEM,rcp45,Contributing Zone,2010-2039,26.615242243537008
MIROC-ESM,rcp45,Contributing Zone,2010-2039,34.57527920698725
MIROC5,rcp45,Contributing Zone,2010-2039,28.380264308651952
MRI-CGCM3,rcp45,Contributing Zone,2010-2039,30.33026142962559
NorESM1-M,rcp45,Contributing Zone,2010-2039,31.045588775821376
bcc-csm1-1-m,rcp85,Contributing Zone,2010-2039,30.001639499688043
bcc-csm1-1,rcp85,Contributing Zone,2010-2039,31.854151233353345
BNU-ESM,rcp85,Contributing Zone,2010-2039,28.988858814194607
CanESM2,rcp85,Contributing Zone,2010-2039,30.64409171489478
CCSM4,rcp85,Contributing Zone,2010-2039,32.27744227865888
CNRM-CM5,rcp85,Contributing Zone,2010-2039,32.8602425807151
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2010-2039,27.748998712840425
GFDL-ESM2G,rcp85,Contributing Zone,2010-2039,28.46884995410947
GFDL-ESM2M,rcp85,Contributing Zone,2010-2039,32.57116970041973
HadGEM2-CC365,rcp85,Contributing Zone,2010-2039,29.405893389237434
HadGEM2-ES365,rcp85,Contributing Zone,2010-2039,29.453897150868386
inmcm4,rcp85,Contributing Zone,2010-2039,29.453403550494563
IPSL-CM5A-LR,rcp85,Contributing Zone,2010-2039,29.047786165903076
IPSL-CM5A-MR,rcp85,Contributing Zone,2010-2039,24.257885001975474
IPSL-CM5B-LR,rcp85,Contributing Zone,2010-2039,34.19438169942119
MIROC-ESM-CHEM,rcp85,Contributing Zone,2010-2039,31.02751745775199
MIROC-ESM,rcp85,Contributing Zone,2010-2039,33.46596056157039
MIROC5,rcp85,Contributing Zone,2010-2039,30.605510819119008
MRI-CGCM3,rcp85,Contributing Zone,2010-2039,32.12351400476717
NorESM1-M,rcp85,Contributing Zone,2010-2039,29.826535346342986
bcc-csm1-1-m,rcp45,Recharge Zone,2040-2069,29.484620085879328
bcc-csm1-1,rcp45,Recharge Zone,2040-2069,28.123038041943815
BNU-ESM,rcp45,Recharge Zone,2040-2069,27.50962323836505
CanESM2,rcp45,Recharge Zone,2040-2069,27.098285250431033
CCSM4,rcp45,Recharge Zone,2040-2069,28.212283843319778
CNRM-CM5,rcp45,Recharge Zone,2040-2069,29.677851218124356
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2040-2069,33.226517888435545
GFDL-ESM2G,rcp45,Recharge Zone,2040-2069,25.029192539747847
GFDL-ESM2M,rcp45,Recharge Zone,2040-2069,30.48467440832812
