,Percent_winter,Percent_spring,Percent_summer,Percent_fall,period,rcp,zone
IPSL-CM5A-MR,118.55603856773071,106.24129165916565,105.79680475397902,106.93074643388181,2010-2039,rcp45,Contributing Zone
IPSL-CM5B-LR,112.19862019231218,104.32092556872104,103.04889751258159,106.34978374138173,2010-2039,rcp45,Contributing Zone
MIROC-ESM-CHEM,111.04885097275006,112.2979007635321,107.12364559821022,107.47241864401882,2010-2039,rcp45,Contributing Zone
MIROC-ESM,108.45476192770818,108.10662929483384,103.8328667113328,105.61375773002402,2010-2039,rcp45,Contributing Zone
MIROC5,109.1362999224623,108.66871656769868,105.91826521656571,107.82780248036528,2010-2039,rcp45,Contributing Zone
MRI-CGCM3,109.3722812472951,102.06942178470754,102.26550603877038,102.40896228907492,2010-2039,rcp45,Contributing Zone
NorESM1-M,105.87714607639055,106.77841640685617,104.49336671195898,107.74711321163525,2010-2039,rcp45,Contributing Zone
bcc-csm1-1-m,108.91533040762691,106.43475711859287,104.23045871366705,105.40951024273446,2010-2039,rcp85,Recharge Zone
bcc-csm1-1,113.66849601124815,104.64744567840974,103.48512230159929,106.34615962499487,2010-2039,rcp85,Recharge Zone
BNU-ESM,106.06737324051248,107.75063733074883,106.60277677666015,110.119999308872,2010-2039,rcp85,Recharge Zone
CanESM2,111.37514393236319,108.05576205450231,107.03663831602135,109.07855868517515,2010-2039,rcp85,Recharge Zone
CCSM4,113.51909371244446,104.63993154441292,104.42184450553573,105.81545748537367,2010-2039,rcp85,Recharge Zone
CNRM-CM5,109.5895732411696,103.44106159208275,102.96615035006734,102.20714455552621,2010-2039,rcp85,Recharge Zone
CSIRO-Mk3-6-0,115.07117073027449,109.53675731072934,106.45652663855931,108.25175217509721,2010-2039,rcp85,Recharge Zone
GFDL-ESM2G,114.69487805712934,108.28917083631211,105.2050187370534,108.09609766594393,2010-2039,rcp85,Recharge Zone
GFDL-ESM2M,110.28471009422604,103.39691424964033,104.00258493842843,105.40085539884427,2010-2039,rcp85,Recharge Zone
HadGEM2-CC365,121.88359970599647,109.20189901724733,107.66762248744402,113.00545898182955,2010-2039,rcp85,Recharge Zone
HadGEM2-ES365,121.04653229147273,107.80807452272188,108.92491074762216,113.26533098037837,2010-2039,rcp85,Recharge Zone
inmcm4,108.20108110040043,104.40167755929095,101.23453405733156,102.89081304374652,2010-2039,rcp85,Recharge Zone
IPSL-CM5A-LR,110.33362179976038,104.95009132756033,105.66659755557055,106.44054695046077,2010-2039,rcp85,Recharge Zone
