,Percent_winter,Percent_spring,Percent_summer,Percent_fall,period,rcp,zone
GFDL-ESM2G,128.24882797984108,123.531413853614,117.06636374704595,123.83357927823751,2070-2099,rcp85,Contributing Zone
GFDL-ESM2M,132.44152393953587,121.02871153117218,117.22788899026268,122.98228584604915,2070-2099,rcp85,Contributing Zone
HadGEM2-CC365,164.10324602761764,126.37287484475783,120.73425189565603,132.94370134920058,2070-2099,rcp85,Contributing Zone
HadGEM2-ES365,160.83043493295727,127.25669110951148,120.70876943082143,131.2226697250425,2070-2099,rcp85,Contributing Zone
inmcm4,138.2351986565076,122.20900885038132,111.16874121223448,119.82207871744276,2070-2099,rcp85,Contributing Zone
IPSL-CM5A-LR,157.15840114201782,130.51076571700747,123.36254254355853,130.24345856611694,2070-2099,rcp85,Contributing Zone
IPSL-CM5A-MR,165.67854964543207,132.4722529484631,124.65702856585304,134.5773065202635,2070-2099,rcp85,Contributing Zone
IPSL-CM5B-LR,139.39019551664185,118.5017118678017,114.02715341074878,120.81204161346062,2070-2099,rcp85,Contributing Zone
MIROC-ESM-CHEM,157.04456498099174,136.14162925123821,122.3841255673249,129.4966918725288,2070-2099,rcp85,Contributing Zone
MIROC-ESM,145.04419303590345,131.38523979352016,122.0124603123734,128.32535907028256,2070-2099,rcp85,Contributing Zone
MIROC5,146.68334745144162,130.0581941536906,118.5882398873154,125.92693256461278,2070-2099,rcp85,Contributing Zone
MRI-CGCM3,138.05745829785926,116.42696618538835,116.80666846722474,117.80617190821366,2070-2099,rcp85,Contributing Zone
NorESM1-M,155.22925481080597,127.38595890979425,116.19120327175511,128.5989484599068,2070-2099,rcp85,Contributing Zone
