,2010-2039,2040-2069,2070-2099,rcp,zone
inmcm4,102.74877719477959,105.58883229987752,107.47946999725467,rcp45,Contributing Zone
IPSL-CM5A-LR,108.54430453393992,113.10967116769733,115.62487329866727,rcp45,Contributing Zone
IPSL-CM5A-MR,107.82990913230472,115.84914729198022,118.58333046461522,rcp45,Contributing Zone
IPSL-CM5B-LR,105.37260876535231,108.2622856150111,111.13890796511212,rcp45,Contributing Zone
MIROC-ESM-CHEM,109.0214149323374,114.77633356680361,118.0196775100627,rcp45,Contributing Zone
MIROC-ESM,105.97980667001777,113.05048417324393,117.14210623502377,rcp45,Contributing Zone
MIROC5,107.52134253790014,113.37201100101883,115.33338165544144,rcp45,Contributing Zone
MRI-CGCM3,103.15200947351344,106.79671516253899,108.06281240558606,rcp45,Contributing Zone
NorESM1-M,106.07905298220382,114.15128212263357,115.57474999884916,rcp45,Contributing Zone
bcc-csm1-1-m,106.10468014127224,113.3578441569336,120.02434170503462,rcp85,Contributing Zone
bcc-csm1-1,106.227532622087,114.43329564145446,122.61785511168858,rcp85,Contributing Zone
BNU-ESM,108.22520060247949,118.5457543575626,127.91656864888827,rcp85,Contributing Zone
CanESM2,108.93795620139366,118.41669427049702,128.38152009761367,rcp85,Contributing Zone
CCSM4,106.44729005413087,113.53745645964189,121.35380494927033,rcp85,Contributing Zone
CNRM-CM5,104.0113335492482,113.16519541642833,122.00918758217315,rcp85,Contributing Zone
CSIRO-Mk3-6-0,109.43904886565896,116.15408079164047,129.317162104805,rcp85,Contributing Zone
GFDL-ESM2G,108.42844780930389,114.98308551428336,121.85152656851828,rcp85,Contributing Zone
GFDL-ESM2M,105.38481051903783,112.27095649913488,121.61326187578254,rcp85,Contributing Zone
HadGEM2-CC365,112.08695175023502,118.97796064390862,130.72386315559578,rcp85,Contributing Zone
HadGEM2-ES365,111.97845907426984,121.16689018612794,130.07520922969616,rcp85,Contributing Zone
inmcm4,103.61003368234233,109.8814081658126,119.64164339607358,rcp85,Contributing Zone
IPSL-CM5A-LR,106.69200458515482,116.17836575556527,131.29843305435992,rcp85,Contributing Zone
IPSL-CM5A-MR,109.79131042112613,120.0739661790414,134.42370218841725,rcp85,Contributing Zone
IPSL-CM5B-LR,105.35305566556528,112.75733684260634,120.11471182792543,rcp85,Contributing Zone
MIROC-ESM-CHEM,108.1855789031839,118.42574241798565,132.101945511654,rcp85,Contributing Zone
MIROC-ESM,106.14384020988543,115.64494109884103,129.00273597617095,rcp85,Contributing Zone
MIROC5,107.36434864226116,116.17037679519262,126.99333755486086,rcp85,Contributing Zone
MRI-CGCM3,103.32179061142533,111.50745928864825,119.6552973745368,rcp85,Contributing Zone
NorESM1-M,109.83546449514729,117.52048731309242,127.15965745553683,rcp85,Contributing Zone
