,Percent_winter,Percent_spring,Percent_summer,Percent_fall,period,rcp,zone
bcc-csm1-1-m,111.63970796374225,91.03178115511375,91.07928989917087,104.37419880651994,2040-2069,rcp45,Contributing Zone
bcc-csm1-1,99.97972821073833,100.82347688780729,85.96899885627464,111.06306977454372,2040-2069,rcp45,Contributing Zone
BNU-ESM,98.93638398769676,107.73660346768051,94.1991180211319,93.87498129807011,2040-2069,rcp45,Contributing Zone
CanESM2,82.26211519372002,92.0840317923083,102.44081209975533,101.43935413419385,2040-2069,rcp45,Contributing Zone
CCSM4,87.16607947186972,92.23235313489224,89.37045662986142,112.88417067720273,2040-2069,rcp45,Contributing Zone
CNRM-CM5,101.12573752589115,102.27551398152097,115.73643246737339,103.16388472171583,2040-2069,rcp45,Contributing Zone
CSIRO-Mk3-6-0,103.52899848187356,113.56067762399964,130.64370768527763,105.79617501847763,2040-2069,rcp45,Contributing Zone
GFDL-ESM2G,87.17468968441545,92.03345627473152,93.70089016550283,86.27141023068712,2040-2069,rcp45,Contributing Zone
GFDL-ESM2M,99.57885047242307,94.12314360686244,118.48000676813312,100.0756482409449,2040-2069,rcp45,Contributing Zone
HadGEM2-CC365,97.31420746783509,107.41766477614544,85.91532885589743,114.09131586872728,2040-2069,rcp45,Contributing Zone
HadGEM2-ES365,103.40348016112601,103.8598107405343,74.29243020529822,88.94191970790627,2040-2069,rcp45,Contributing Zone
inmcm4,93.92916560330116,93.02746821350448,122.69893698154344,100.43436659005458,2040-2069,rcp45,Contributing Zone
IPSL-CM5A-LR,77.4539796787294,81.71976051915487,82.96319074233004,90.5751387209301,2040-2069,rcp45,Contributing Zone
IPSL-CM5A-MR,75.23027190461922,94.32235474834987,69.64299407040299,75.30347782787916,2040-2069,rcp45,Contributing Zone
IPSL-CM5B-LR,101.07602632047343,116.27374269174513,119.79235516811319,117.03672369014572,2040-2069,rcp45,Contributing Zone
MIROC-ESM-CHEM,114.38254443872178,98.9097252043232,85.38775833280829,102.0982789101045,2040-2069,rcp45,Contributing Zone
MIROC-ESM,96.66490322134855,116.90841605105821,124.47848246854814,95.78729672710425,2040-2069,rcp45,Contributing Zone
MIROC5,104.27266050955701,105.69495140592464,128.47926419441816,86.95912028559445,2040-2069,rcp45,Contributing Zone
MRI-CGCM3,82.21680249029347,110.39316475801189,129.12085965773886,116.41966995116833,2040-2069,rcp45,Contributing Zone
NorESM1-M,95.77429125325175,95.72879079402163,86.43408422721353,90.55327618598777,2040-2069,rcp45,Contributing Zone
bcc-csm1-1-m,96.32030770645467,97.97796109427449,74.47721447360523,112.30114896903235,2040-2069,rcp85,Recharge Zone
bcc-csm1-1,92.43333022628012,87.16267973446287,90.8367283592397,125.69435255994405,2040-2069,rcp85,Recharge Zone
BNU-ESM,93.99505590382758,89.33852358943291,109.63865435896372,79.62825571609218,2040-2069,rcp85,Recharge Zone
CanESM2,91.581702610469,95.86857391728329,102.63850607580363,114.26935585250051,2040-2069,rcp85,Recharge Zone
CCSM4,103.17722609906217,97.16419568308099,91.00371848464249,95.6814441384249,2040-2069,rcp85,Recharge Zone
CNRM-CM5,94.21531623215145,92.80932092724271,100.00847803534295,103.47154754757409,2040-2069,rcp85,Recharge Zone
CSIRO-Mk3-6-0,85.77269608951512,111.14690405213126,109.2962886352248,90.7323646479919,2040-2069,rcp85,Recharge Zone
GFDL-ESM2G,92.40410877194368,92.97494582250604,96.64064146514448,89.67633894289561,2040-2069,rcp85,Recharge Zone
GFDL-ESM2M,103.35816436709347,109.13886079575383,103.34433234857103,85.25097363297834,2040-2069,rcp85,Recharge Zone
HadGEM2-CC365,95.50750244241154,108.65795374170668,95.88836483224114,132.93171843396328,2040-2069,rcp85,Recharge Zone
HadGEM2-ES365,87.1717970798953,103.453928136421,61.81452871027601,116.85950204293421,2040-2069,rcp85,Recharge Zone
inmcm4,85.28771575345466,95.12043848147815,118.03278126655943,83.15054427517487,2040-2069,rcp85,Recharge Zone
IPSL-CM5A-LR,71.03301808665428,93.00531612750291,87.81676927008914,113.03558947723215,2040-2069,rcp85,Recharge Zone
IPSL-CM5A-MR,72.54280966392692,69.18853959755687,83.73939790622994,80.19373280304805,2040-2069,rcp85,Recharge Zone
IPSL-CM5B-LR,96.8236358694347,106.54561780683434,111.36230857460659,128.13383464132923,2040-2069,rcp85,Recharge Zone
MIROC-ESM-CHEM,96.52840937177749,100.66208088257153,92.40365798221151,94.80064746870958,2040-2069,rcp85,Recharge Zone
MIROC-ESM,114.61489453883998,95.98662888014906,101.4648634768633,100.40748103868478,2040-2069,rcp85,Recharge Zone
MIROC5,101.03440850727259,97.66167106250916,115.16981202648586,96.65784809325902,2040-2069,rcp85,Recharge Zone
MRI-CGCM3,75.06236949117276,102.3638810319116,117.08066383030808,109.96793001302802,2040-2069,rcp85,Recharge Zone
NorESM1-M,81.76655423916638,101.62721155465266,106.83953336792347,93.92422757022753,2040-2069,rcp85,Recharge Zone
bcc-csm1-1-m,96.14674224650706,98.32598987209663,73.58315055378229,113.55965395947389,2040-2069,rcp85,Contributing Zone
bcc-csm1-1,93.30507526696354,88.87634441570691,90.23187275242442,124.19645380536784,2040-2069,rcp85,Contributing Zone
BNU-ESM,95.0517783463901,90.9441295637307,114.73504173197782,79.48294542750857,2040-2069,rcp85,Contributing Zone
CanESM2,93.96602528784985,94.78273815524062,103.99586088888069,111.35405571640389,2040-2069,rcp85,Contributing Zone
