,2010-2039,2040-2069,2070-2099,rcp,zone
CCSM4,106.38606163829385,95.78314550476415,97.48196533106007,rcp85,Recharge Zone
CNRM-CM5,112.25283351791467,97.98583002913001,100.52442727834554,rcp85,Recharge Zone
CSIRO-Mk3-6-0,90.87351495224274,100.69179796332782,99.95021344145434,rcp85,Recharge Zone
GFDL-ESM2G,95.06258825977702,93.00765383883652,91.27723240024586,rcp85,Recharge Zone
GFDL-ESM2M,105.12885296253404,99.84462289262072,84.77619432742772,rcp85,Recharge Zone
HadGEM2-CC365,97.942171485531,108.9353168110029,94.80794958077891,rcp85,Recharge Zone
HadGEM2-ES365,95.60256470189323,91.58650323362619,101.36378159141289,rcp85,Recharge Zone
inmcm4,96.49636574527814,96.91128230530364,96.26557999372388,rcp85,Recharge Zone
IPSL-CM5A-LR,98.92005243151581,93.65095338093475,74.10535301323486,rcp85,Recharge Zone
IPSL-CM5A-MR,81.43708076238671,77.43673566803709,69.78169019460465,rcp85,Recharge Zone
IPSL-CM5B-LR,116.40840541830808,112.65784165212187,107.5536275891032,rcp85,Recharge Zone
MIROC-ESM-CHEM,103.60079292503146,95.93833902487741,91.70814886966562,rcp85,Recharge Zone
MIROC-ESM,108.7499578144458,101.5303475387286,96.70464551998109,rcp85,Recharge Zone
MIROC5,109.65967008348744,103.33414685307677,94.57542482440337,rcp85,Recharge Zone
MRI-CGCM3,109.50856796647261,104.75064030415892,93.64561619428223,rcp85,Recharge Zone
NorESM1-M,100.06537170414565,98.00307114293835,90.53202923639472,rcp85,Recharge Zone
bcc-csm1-1-m,93.77694199867985,97.6774826869044,88.38345296405284,rcp45,Contributing Zone
bcc-csm1-1,100.27290676877631,99.11976355440385,90.60987915980633,rcp45,Contributing Zone
BNU-ESM,99.75028770864279,98.73990394021597,88.46896357320159,rcp45,Contributing Zone
CanESM2,97.9716654011359,96.41021951995529,103.06247874620824,rcp45,Contributing Zone
CCSM4,100.14405924923757,96.43054797240066,96.43074692623833,rcp45,Contributing Zone
CNRM-CM5,98.61836219070787,106.37095201191764,104.66848688380503,rcp45,Contributing Zone
CSIRO-Mk3-6-0,97.50732161441108,114.70975845079847,109.29926034877447,rcp45,Contributing Zone
GFDL-ESM2G,91.12116065978846,90.10403941152663,90.26909928878908,rcp45,Contributing Zone
GFDL-ESM2M,102.34372069247823,103.97771579688823,104.79965715008201,rcp45,Contributing Zone
HadGEM2-CC365,94.8572665050137,100.98356192530107,93.37814857135515,rcp45,Contributing Zone
HadGEM2-ES365,91.77284718844673,90.33276952047034,108.08198815882794,rcp45,Contributing Zone
inmcm4,99.23239024616181,104.0688464120001,109.60526858756279,rcp45,Contributing Zone
IPSL-CM5A-LR,87.84101845866363,84.01227464212437,87.86376186019874,rcp45,Contributing Zone
IPSL-CM5A-MR,107.44268694795839,78.18122877253109,81.54035898564283,rcp45,Contributing Zone
IPSL-CM5B-LR,111.70432906778798,115.18501445701068,116.95027617586294,rcp45,Contributing Zone
MIROC-ESM-CHEM,88.64711683629598,97.94883017787913,99.957174296663,rcp45,Contributing Zone
MIROC-ESM,112.7822201811812,109.75478725136085,105.03242236057689,rcp45,Contributing Zone
MIROC5,101.6430119185691,107.4247059253441,117.20724268688774,rcp45,Contributing Zone
MRI-CGCM3,102.49338665277278,113.54794906883534,112.07454884466546,rcp45,Contributing Zone
NorESM1-M,103.51326892647705,91.55852992124962,99.65745742903027,rcp45,Contributing Zone
bcc-csm1-1-m,95.22205646257179,94.62566486900431,94.00640964234658,rcp85,Contributing Zone
bcc-csm1-1,105.49915782783128,100.01924551144941,97.6590162956129,rcp85,Contributing Zone
BNU-ESM,98.15517106528911,94.7675100804541,91.59085388086005,rcp85,Contributing Zone
CanESM2,102.86930755426276,102.0856853927846,103.95266438024389,rcp85,Contributing Zone
CCSM4,105.10055484605178,95.10936413023533,96.29769514771628,rcp85,Contributing Zone
CNRM-CM5,111.89824852339126,98.32768662910074,98.79204438364229,rcp85,Contributing Zone
CSIRO-Mk3-6-0,90.53082694000197,101.70467672491166,100.24987038047992,rcp85,Contributing Zone
