macamodel,rcp,zone,period,season,seasonal mean P (in)
IPSL-CM5A-MR,rcp45,Contributing Zone,2040-2069,Spring,6.723661744925339
IPSL-CM5B-LR,rcp45,Contributing Zone,2040-2069,Spring,8.654120033086057
MIROC-ESM-CHEM,rcp45,Contributing Zone,2040-2069,Spring,7.928221092412769
MIROC-ESM,rcp45,Contributing Zone,2040-2069,Spring,9.591658281162182
MIROC5,rcp45,Contributing Zone,2040-2069,Spring,7.829843579452374
MRI-CGCM3,rcp45,Contributing Zone,2040-2069,Spring,8.638295276629197
NorESM1-M,rcp45,Contributing Zone,2040-2069,Spring,7.8547173295229875
bcc-csm1-1-m,rcp45,Contributing Zone,2070-2099,Spring,7.248386337696874
bcc-csm1-1,rcp45,Contributing Zone,2070-2099,Spring,7.614780790044588
BNU-ESM,rcp45,Contributing Zone,2070-2099,Spring,7.448730207284405
CanESM2,rcp45,Contributing Zone,2070-2099,Spring,8.504163208225032
CCSM4,rcp45,Contributing Zone,2070-2099,Spring,8.807613189281296
CNRM-CM5,rcp45,Contributing Zone,2070-2099,Spring,8.565563619789929
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2070-2099,Spring,8.735960785014024
GFDL-ESM2G,rcp45,Contributing Zone,2070-2099,Spring,7.577406144288246
GFDL-ESM2M,rcp45,Contributing Zone,2070-2099,Spring,7.570417386733845
HadGEM2-CC365,rcp45,Contributing Zone,2070-2099,Spring,8.69962300426438
HadGEM2-ES365,rcp45,Contributing Zone,2070-2099,Spring,9.077943225535162
inmcm4,rcp45,Contributing Zone,2070-2099,Spring,8.265587100393274
IPSL-CM5A-LR,rcp45,Contributing Zone,2070-2099,Spring,6.543805729590626
IPSL-CM5A-MR,rcp45,Contributing Zone,2070-2099,Spring,4.96157548833907
IPSL-CM5B-LR,rcp45,Contributing Zone,2070-2099,Spring,8.81171644427934
MIROC-ESM-CHEM,rcp45,Contributing Zone,2070-2099,Spring,7.499343356191376
MIROC-ESM,rcp45,Contributing Zone,2070-2099,Spring,7.927093075959823
MIROC5,rcp45,Contributing Zone,2070-2099,Spring,8.188595173892612
MRI-CGCM3,rcp45,Contributing Zone,2070-2099,Spring,8.167091369613003
NorESM1-M,rcp45,Contributing Zone,2070-2099,Spring,7.3265009475747105
bcc-csm1-1-m,rcp85,Contributing Zone,1971-2000,Spring,8.437558753624154
bcc-csm1-1,rcp85,Contributing Zone,1971-2000,Spring,7.756956834102266
BNU-ESM,rcp85,Contributing Zone,1971-2000,Spring,8.53001155813884
CanESM2,rcp85,Contributing Zone,1971-2000,Spring,8.215890281478101
CCSM4,rcp85,Contributing Zone,1971-2000,Spring,8.725400963759052
CNRM-CM5,rcp85,Contributing Zone,1971-2000,Spring,8.085967537055037
CSIRO-Mk3-6-0,rcp85,Contributing Zone,1971-2000,Spring,7.7118264369402425
GFDL-ESM2G,rcp85,Contributing Zone,1971-2000,Spring,7.689226234213908
GFDL-ESM2M,rcp85,Contributing Zone,1971-2000,Spring,8.294242168039121
HadGEM2-CC365,rcp85,Contributing Zone,1971-2000,Spring,8.254849660175736
HadGEM2-ES365,rcp85,Contributing Zone,1971-2000,Spring,7.705051425190036
inmcm4,rcp85,Contributing Zone,1971-2000,Spring,7.92479950304962
IPSL-CM5A-LR,rcp85,Contributing Zone,1971-2000,Spring,7.704910443685083
IPSL-CM5A-MR,rcp85,Contributing Zone,1971-2000,Spring,7.1283862270656115
IPSL-CM5B-LR,rcp85,Contributing Zone,1971-2000,Spring,7.44288420819919
MIROC-ESM-CHEM,rcp85,Contributing Zone,1971-2000,Spring,8.015613303985035
MIROC-ESM,rcp85,Contributing Zone,1971-2000,Spring,8.204420695404128
MIROC5,rcp85,Contributing Zone,1971-2000,Spring,7.407963649447763
MRI-CGCM3,rcp85,Contributing Zone,1971-2000,Spring,7.825027297265037
NorESM1-M,rcp85,Contributing Zone,1971-2000,Spring,8.205177631903737
bcc-csm1-1-m,rcp85,Contributing Zone,1950-2005,Spring,7.949492789177437
bcc-csm1-1,rcp85,Contributing Zone,1950-2005,Spring,7.938105981209291
BNU-ESM,rcp85,Contributing Zone,1950-2005,Spring,8.05114328754609
CanESM2,rcp85,Contributing Zone,1950-2005,Spring,7.945360537275796
CCSM4,rcp85,Contributing Zone,1950-2005,Spring,8.05865700500548
CNRM-CM5,rcp85,Contributing Zone,1950-2005,Spring,7.974686961631706
CSIRO-Mk3-6-0,rcp85,Contributing Zone,1950-2005,Spring,7.9655928673323375
GFDL-ESM2G,rcp85,Contributing Zone,1950-2005,Spring,8.017350589823968
GFDL-ESM2M,rcp85,Contributing Zone,1950-2005,Spring,7.980446254040702
HadGEM2-CC365,rcp85,Contributing Zone,1950-2005,Spring,7.9407116492751415
HadGEM2-ES365,rcp85,Contributing Zone,1950-2005,Spring,8.046704547530451
inmcm4,rcp85,Contributing Zone,1950-2005,Spring,7.942013509028916
IPSL-CM5A-LR,rcp85,Contributing Zone,1950-2005,Spring,7.9546662076805505
IPSL-CM5A-MR,rcp85,Contributing Zone,1950-2005,Spring,7.892457135780776
IPSL-CM5B-LR,rcp85,Contributing Zone,1950-2005,Spring,8.005177251580653
MIROC-ESM-CHEM,rcp85,Contributing Zone,1950-2005,Spring,7.933522968635518
MIROC-ESM,rcp85,Contributing Zone,1950-2005,Spring,7.937172777122918
MIROC5,rcp85,Contributing Zone,1950-2005,Spring,8.007625717176866
MRI-CGCM3,rcp85,Contributing Zone,1950-2005,Spring,8.054997121420957
NorESM1-M,rcp85,Contributing Zone,1950-2005,Spring,7.98389407136963
bcc-csm1-1-m,rcp85,Contributing Zone,2010-2039,Spring,7.753230621900296
bcc-csm1-1,rcp85,Contributing Zone,2010-2039,Spring,7.301916364699239
BNU-ESM,rcp85,Contributing Zone,2010-2039,Spring,8.046449043642792
CanESM2,rcp85,Contributing Zone,2010-2039,Spring,9.188131487467452
CCSM4,rcp85,Contributing Zone,2010-2039,Spring,8.950954404381346
CNRM-CM5,rcp85,Contributing Zone,2010-2039,Spring,8.682515780190052
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2010-2039,Spring,6.962215052204701
GFDL-ESM2G,rcp85,Contributing Zone,2010-2039,Spring,6.812154985528991
GFDL-ESM2M,rcp85,Contributing Zone,2010-2039,Spring,8.266889825603876
HadGEM2-CC365,rcp85,Contributing Zone,2010-2039,Spring,6.9118351456741305
HadGEM2-ES365,rcp85,Contributing Zone,2010-2039,Spring,8.67357776060326
inmcm4,rcp85,Contributing Zone,2010-2039,Spring,7.268788637430862
IPSL-CM5A-LR,rcp85,Contributing Zone,2010-2039,Spring,7.767679463640758
IPSL-CM5A-MR,rcp85,Contributing Zone,2010-2039,Spring,6.841627502469795
IPSL-CM5B-LR,rcp85,Contributing Zone,2010-2039,Spring,8.726591478271022
MIROC-ESM-CHEM,rcp85,Contributing Zone,2010-2039,Spring,8.861625317921408
MIROC-ESM,rcp85,Contributing Zone,2010-2039,Spring,8.483623937145873
MIROC5,rcp85,Contributing Zone,2010-2039,Spring,7.861501485217438
MRI-CGCM3,rcp85,Contributing Zone,2010-2039,Spring,6.916203763284425
NorESM1-M,rcp85,Contributing Zone,2010-2039,Spring,7.704935443638514
bcc-csm1-1-m,rcp85,Contributing Zone,2040-2069,Spring,8.296313165540688
bcc-csm1-1,rcp85,Contributing Zone,2040-2069,Spring,6.894099672054445
BNU-ESM,rcp85,Contributing Zone,2040-2069,Spring,7.757544763234991
CanESM2,rcp85,Contributing Zone,2040-2069,Spring,7.78724577261525
CCSM4,rcp85,Contributing Zone,2040-2069,Spring,8.64907406091471
CNRM-CM5,rcp85,Contributing Zone,2040-2069,Spring,7.563773619837096
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2040-2069,Spring,8.913063218375024
GFDL-ESM2G,rcp85,Contributing Zone,2040-2069,Spring,7.363240651740113
GFDL-ESM2M,rcp85,Contributing Zone,2040-2069,Spring,8.824111963827852
HadGEM2-CC365,rcp85,Contributing Zone,2040-2069,Spring,8.960487014931447
HadGEM2-ES365,rcp85,Contributing Zone,2040-2069,Spring,7.991937322410335
inmcm4,rcp85,Contributing Zone,2040-2069,Spring,7.753492912194542
IPSL-CM5A-LR,rcp85,Contributing Zone,2040-2069,Spring,7.285482193324858
IPSL-CM5A-MR,rcp85,Contributing Zone,2040-2069,Spring,5.025160633386803
IPSL-CM5B-LR,rcp85,Contributing Zone,2040-2069,Spring,8.041276498842283
MIROC-ESM-CHEM,rcp85,Contributing Zone,2040-2069,Spring,8.201408173619349
MIROC-ESM,rcp85,Contributing Zone,2040-2069,Spring,8.102682411353276
MIROC5,rcp85,Contributing Zone,2040-2069,Spring,7.301419565902542
MRI-CGCM3,rcp85,Contributing Zone,2040-2069,Spring,8.04138228489151
NorESM1-M,rcp85,Contributing Zone,2040-2069,Spring,8.432779283786294
bcc-csm1-1-m,rcp85,Contributing Zone,2070-2099,Spring,7.669204597366433
bcc-csm1-1,rcp85,Contributing Zone,2070-2099,Spring,5.448677048993978
BNU-ESM,rcp85,Contributing Zone,2070-2099,Spring,7.0606917602772405
CanESM2,rcp85,Contributing Zone,2070-2099,Spring,7.114557928891299
CCSM4,rcp85,Contributing Zone,2070-2099,Spring,8.433901794780468
CNRM-CM5,rcp85,Contributing Zone,2070-2099,Spring,7.647021830951102
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2070-2099,Spring,7.687032978692621
GFDL-ESM2G,rcp85,Contributing Zone,2070-2099,Spring,6.7867325960589655
GFDL-ESM2M,rcp85,Contributing Zone,2070-2099,Spring,7.297053811416347
HadGEM2-CC365,rcp85,Contributing Zone,2070-2099,Spring,7.580083805738783
HadGEM2-ES365,rcp85,Contributing Zone,2070-2099,Spring,9.09600678230019
inmcm4,rcp85,Contributing Zone,2070-2099,Spring,6.4748315043621805
IPSL-CM5A-LR,rcp85,Contributing Zone,2070-2099,Spring,5.102502226428536
IPSL-CM5A-MR,rcp85,Contributing Zone,2070-2099,Spring,4.456535184844528
IPSL-CM5B-LR,rcp85,Contributing Zone,2070-2099,Spring,7.276798121697805
MIROC-ESM-CHEM,rcp85,Contributing Zone,2070-2099,Spring,6.83847683132489
MIROC-ESM,rcp85,Contributing Zone,2070-2099,Spring,6.4961796894118535
MIROC5,rcp85,Contributing Zone,2070-2099,Spring,6.900306025147464
MRI-CGCM3,rcp85,Contributing Zone,2070-2099,Spring,7.53896418889665
NorESM1-M,rcp85,Contributing Zone,2070-2099,Spring,7.713888660426733
bcc-csm1-1-m,rcp45,Recharge Zone,1971-2000,Summer,9.38717836408401
bcc-csm1-1,rcp45,Recharge Zone,1971-2000,Summer,8.607602968497465
BNU-ESM,rcp45,Recharge Zone,1971-2000,Summer,7.811846894583212
CanESM2,rcp45,Recharge Zone,1971-2000,Summer,8.370216223725143
CCSM4,rcp45,Recharge Zone,1971-2000,Summer,8.659124637679943
CNRM-CM5,rcp45,Recharge Zone,1971-2000,Summer,8.372958693173299
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1971-2000,Summer,8.46467060266338
GFDL-ESM2G,rcp45,Recharge Zone,1971-2000,Summer,8.294332701713673
GFDL-ESM2M,rcp45,Recharge Zone,1971-2000,Summer,8.929623641154603
HadGEM2-CC365,rcp45,Recharge Zone,1971-2000,Summer,8.963801891120374
HadGEM2-ES365,rcp45,Recharge Zone,1971-2000,Summer,9.18018265276032
inmcm4,rcp45,Recharge Zone,1971-2000,Summer,8.56295820239691
IPSL-CM5A-LR,rcp45,Recharge Zone,1971-2000,Summer,8.337261786315043
IPSL-CM5A-MR,rcp45,Recharge Zone,1971-2000,Summer,8.795591494893442
IPSL-CM5B-LR,rcp45,Recharge Zone,1971-2000,Summer,8.131865812559564
MIROC-ESM-CHEM,rcp45,Recharge Zone,1971-2000,Summer,8.604504886094304
MIROC-ESM,rcp45,Recharge Zone,1971-2000,Summer,8.29322428680057
MIROC5,rcp45,Recharge Zone,1971-2000,Summer,8.244812939260317
MRI-CGCM3,rcp45,Recharge Zone,1971-2000,Summer,8.659149396128269
NorESM1-M,rcp45,Recharge Zone,1971-2000,Summer,8.464540224729392
bcc-csm1-1-m,rcp45,Recharge Zone,1950-2005,Summer,8.370923855866874
bcc-csm1-1,rcp45,Recharge Zone,1950-2005,Summer,8.502797610832017
BNU-ESM,rcp45,Recharge Zone,1950-2005,Summer,8.242308268647125
CanESM2,rcp45,Recharge Zone,1950-2005,Summer,8.488391219936457
CCSM4,rcp45,Recharge Zone,1950-2005,Summer,8.381510840775569
CNRM-CM5,rcp45,Recharge Zone,1950-2005,Summer,8.528097862522328
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1950-2005,Summer,8.35242003843993
GFDL-ESM2G,rcp45,Recharge Zone,1950-2005,Summer,8.457788757711379
GFDL-ESM2M,rcp45,Recharge Zone,1950-2005,Summer,8.35406541177875
HadGEM2-CC365,rcp45,Recharge Zone,1950-2005,Summer,8.498898166171662
HadGEM2-ES365,rcp45,Recharge Zone,1950-2005,Summer,8.401029843966018
inmcm4,rcp45,Recharge Zone,1950-2005,Summer,8.505566564711629
IPSL-CM5A-LR,rcp45,Recharge Zone,1950-2005,Summer,8.530806827271302
IPSL-CM5A-MR,rcp45,Recharge Zone,1950-2005,Summer,8.464765768069846
IPSL-CM5B-LR,rcp45,Recharge Zone,1950-2005,Summer,8.408839827964423
MIROC-ESM-CHEM,rcp45,Recharge Zone,1950-2005,Summer,8.358056513562596
MIROC-ESM,rcp45,Recharge Zone,1950-2005,Summer,8.382785405558463
MIROC5,rcp45,Recharge Zone,1950-2005,Summer,8.35964336223467
MRI-CGCM3,rcp45,Recharge Zone,1950-2005,Summer,8.394615704377813
NorESM1-M,rcp45,Recharge Zone,1950-2005,Summer,8.38350064719675
bcc-csm1-1-m,rcp45,Recharge Zone,2010-2039,Summer,7.996437675276045
bcc-csm1-1,rcp45,Recharge Zone,2010-2039,Summer,6.705683122840607
BNU-ESM,rcp45,Recharge Zone,2010-2039,Summer,7.138214406345792
CanESM2,rcp45,Recharge Zone,2010-2039,Summer,9.166070009856167
CCSM4,rcp45,Recharge Zone,2010-2039,Summer,9.664697603852792
CNRM-CM5,rcp45,Recharge Zone,2010-2039,Summer,8.57108629172147
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2010-2039,Summer,9.690673948902287
GFDL-ESM2G,rcp45,Recharge Zone,2010-2039,Summer,8.298942056763124
GFDL-ESM2M,rcp45,Recharge Zone,2010-2039,Summer,8.787947308297046
HadGEM2-CC365,rcp45,Recharge Zone,2010-2039,Summer,9.25954597785184
HadGEM2-ES365,rcp45,Recharge Zone,2010-2039,Summer,7.080863571488814
inmcm4,rcp45,Recharge Zone,2010-2039,Summer,9.347015390988451
IPSL-CM5A-LR,rcp45,Recharge Zone,2010-2039,Summer,7.229444796983755
IPSL-CM5A-MR,rcp45,Recharge Zone,2010-2039,Summer,9.458407267004159
IPSL-CM5B-LR,rcp45,Recharge Zone,2010-2039,Summer,8.78391249055663
MIROC-ESM-CHEM,rcp45,Recharge Zone,2010-2039,Summer,6.511696922226682
MIROC-ESM,rcp45,Recharge Zone,2010-2039,Summer,11.087083080544412
MIROC5,rcp45,Recharge Zone,2010-2039,Summer,8.957000206902004
MRI-CGCM3,rcp45,Recharge Zone,2010-2039,Summer,9.152058428361654
NorESM1-M,rcp45,Recharge Zone,2010-2039,Summer,9.43559146421489
bcc-csm1-1-m,rcp45,Recharge Zone,2040-2069,Summer,8.744626620736042
bcc-csm1-1,rcp45,Recharge Zone,2040-2069,Summer,7.389505785902675
BNU-ESM,rcp45,Recharge Zone,2040-2069,Summer,7.034791442353535
CanESM2,rcp45,Recharge Zone,2040-2069,Summer,8.416375394249705
CCSM4,rcp45,Recharge Zone,2040-2069,Summer,8.018420816631085
CNRM-CM5,rcp45,Recharge Zone,2040-2069,Summer,9.671486102959387
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2040-2069,Summer,11.168071371823324
GFDL-ESM2G,rcp45,Recharge Zone,2040-2069,Summer,7.891684168213522
GFDL-ESM2M,rcp45,Recharge Zone,2040-2069,Summer,10.514318583387496
HadGEM2-CC365,rcp45,Recharge Zone,2040-2069,Summer,7.662385899046943
HadGEM2-ES365,rcp45,Recharge Zone,2040-2069,Summer,6.9920154597653195
inmcm4,rcp45,Recharge Zone,2040-2069,Summer,10.709757426781604
IPSL-CM5A-LR,rcp45,Recharge Zone,2040-2069,Summer,6.9423007421582295
IPSL-CM5A-MR,rcp45,Recharge Zone,2040-2069,Summer,6.2539358356856765
IPSL-CM5B-LR,rcp45,Recharge Zone,2040-2069,Summer,9.739961640887437
MIROC-ESM-CHEM,rcp45,Recharge Zone,2040-2069,Summer,7.541747000607001
MIROC-ESM,rcp45,Recharge Zone,2040-2069,Summer,10.131959472103466
MIROC5,rcp45,Recharge Zone,2040-2069,Summer,10.419892950218863
MRI-CGCM3,rcp45,Recharge Zone,2040-2069,Summer,11.023737647064387
NorESM1-M,rcp45,Recharge Zone,2040-2069,Summer,7.341778197403161
bcc-csm1-1-m,rcp45,Recharge Zone,2070-2099,Summer,6.474834895936177
bcc-csm1-1,rcp45,Recharge Zone,2070-2099,Summer,6.383141243169396
BNU-ESM,rcp45,Recharge Zone,2070-2099,Summer,6.503668082095633
CanESM2,rcp45,Recharge Zone,2070-2099,Summer,9.974661067286206
CCSM4,rcp45,Recharge Zone,2070-2099,Summer,7.58789755940742
CNRM-CM5,rcp45,Recharge Zone,2070-2099,Summer,9.719813746052397
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2070-2099,Summer,10.943648849865662
GFDL-ESM2G,rcp45,Recharge Zone,2070-2099,Summer,6.2566735093576415
GFDL-ESM2M,rcp45,Recharge Zone,2070-2099,Summer,10.178836106552042
HadGEM2-CC365,rcp45,Recharge Zone,2070-2099,Summer,7.640899288618214
HadGEM2-ES365,rcp45,Recharge Zone,2070-2099,Summer,7.971549906013251
inmcm4,rcp45,Recharge Zone,2070-2099,Summer,11.524673354077368
IPSL-CM5A-LR,rcp45,Recharge Zone,2070-2099,Summer,8.000210828203917
IPSL-CM5A-MR,rcp45,Recharge Zone,2070-2099,Summer,8.492732696000832
IPSL-CM5B-LR,rcp45,Recharge Zone,2070-2099,Summer,10.024450144528306
MIROC-ESM-CHEM,rcp45,Recharge Zone,2070-2099,Summer,8.45198400361362
MIROC-ESM,rcp45,Recharge Zone,2070-2099,Summer,10.107853485142169
MIROC5,rcp45,Recharge Zone,2070-2099,Summer,12.279517276083135
MRI-CGCM3,rcp45,Recharge Zone,2070-2099,Summer,9.261496042674644
NorESM1-M,rcp45,Recharge Zone,2070-2099,Summer,10.21917355008033
bcc-csm1-1-m,rcp85,Recharge Zone,1971-2000,Summer,9.38717836408401
bcc-csm1-1,rcp85,Recharge Zone,1971-2000,Summer,8.607602968497465
BNU-ESM,rcp85,Recharge Zone,1971-2000,Summer,7.811846894583212
CanESM2,rcp85,Recharge Zone,1971-2000,Summer,8.370216223725143
CCSM4,rcp85,Recharge Zone,1971-2000,Summer,8.659124637679943
CNRM-CM5,rcp85,Recharge Zone,1971-2000,Summer,8.372958693173299
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1971-2000,Summer,8.46467060266338
GFDL-ESM2G,rcp85,Recharge Zone,1971-2000,Summer,8.294332701713673
GFDL-ESM2M,rcp85,Recharge Zone,1971-2000,Summer,8.929623641154603
HadGEM2-CC365,rcp85,Recharge Zone,1971-2000,Summer,8.963801891120374
HadGEM2-ES365,rcp85,Recharge Zone,1971-2000,Summer,9.18018265276032
inmcm4,rcp85,Recharge Zone,1971-2000,Summer,8.56295820239691
IPSL-CM5A-LR,rcp85,Recharge Zone,1971-2000,Summer,8.337261786315043
IPSL-CM5A-MR,rcp85,Recharge Zone,1971-2000,Summer,8.795591494893442
IPSL-CM5B-LR,rcp85,Recharge Zone,1971-2000,Summer,8.131865812559564
MIROC-ESM-CHEM,rcp85,Recharge Zone,1971-2000,Summer,8.604504886094304
MIROC-ESM,rcp85,Recharge Zone,1971-2000,Summer,8.29322428680057
MIROC5,rcp85,Recharge Zone,1971-2000,Summer,8.244812939260317
MRI-CGCM3,rcp85,Recharge Zone,1971-2000,Summer,8.659149396128269
NorESM1-M,rcp85,Recharge Zone,1971-2000,Summer,8.464540224729392
bcc-csm1-1-m,rcp85,Recharge Zone,1950-2005,Summer,8.370923855866874
bcc-csm1-1,rcp85,Recharge Zone,1950-2005,Summer,8.502797610832017
BNU-ESM,rcp85,Recharge Zone,1950-2005,Summer,8.242308268647125
CanESM2,rcp85,Recharge Zone,1950-2005,Summer,8.488391219936457
CCSM4,rcp85,Recharge Zone,1950-2005,Summer,8.381510840775569
CNRM-CM5,rcp85,Recharge Zone,1950-2005,Summer,8.528097862522328
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1950-2005,Summer,8.35242003843993
GFDL-ESM2G,rcp85,Recharge Zone,1950-2005,Summer,8.457788757711379
GFDL-ESM2M,rcp85,Recharge Zone,1950-2005,Summer,8.35406541177875
HadGEM2-CC365,rcp85,Recharge Zone,1950-2005,Summer,8.498898166171662
HadGEM2-ES365,rcp85,Recharge Zone,1950-2005,Summer,8.401029843966018
inmcm4,rcp85,Recharge Zone,1950-2005,Summer,8.505566564711629
IPSL-CM5A-LR,rcp85,Recharge Zone,1950-2005,Summer,8.530806827271302
IPSL-CM5A-MR,rcp85,Recharge Zone,1950-2005,Summer,8.464765768069846
IPSL-CM5B-LR,rcp85,Recharge Zone,1950-2005,Summer,8.408839827964423
MIROC-ESM-CHEM,rcp85,Recharge Zone,1950-2005,Summer,8.358056513562596
MIROC-ESM,rcp85,Recharge Zone,1950-2005,Summer,8.382785405558463
MIROC5,rcp85,Recharge Zone,1950-2005,Summer,8.35964336223467
MRI-CGCM3,rcp85,Recharge Zone,1950-2005,Summer,8.394615704377813
NorESM1-M,rcp85,Recharge Zone,1950-2005,Summer,8.38350064719675
bcc-csm1-1-m,rcp85,Recharge Zone,2010-2039,Summer,7.606289148546422
bcc-csm1-1,rcp85,Recharge Zone,2010-2039,Summer,10.518470827204505
BNU-ESM,rcp85,Recharge Zone,2010-2039,Summer,7.276024451089913
CanESM2,rcp85,Recharge Zone,2010-2039,Summer,9.032626680054024
CCSM4,rcp85,Recharge Zone,2010-2039,Summer,9.392510776858524
CNRM-CM5,rcp85,Recharge Zone,2010-2039,Summer,10.296241865472012
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2010-2039,Summer,7.065800903713346
GFDL-ESM2G,rcp85,Recharge Zone,2010-2039,Summer,8.35022756459121
GFDL-ESM2M,rcp85,Recharge Zone,2010-2039,Summer,10.752297724081034
HadGEM2-CC365,rcp85,Recharge Zone,2010-2039,Summer,9.273568216614366
HadGEM2-ES365,rcp85,Recharge Zone,2010-2039,Summer,7.343570085434177
inmcm4,rcp85,Recharge Zone,2010-2039,Summer,8.367902798639832
IPSL-CM5A-LR,rcp85,Recharge Zone,2010-2039,Summer,8.575694736396919
IPSL-CM5A-MR,rcp85,Recharge Zone,2010-2039,Summer,6.509386658926174
IPSL-CM5B-LR,rcp85,Recharge Zone,2010-2039,Summer,8.84873887717367
MIROC-ESM-CHEM,rcp85,Recharge Zone,2010-2039,Summer,9.583809714199536
MIROC-ESM,rcp85,Recharge Zone,2010-2039,Summer,10.075066649407807
MIROC5,rcp85,Recharge Zone,2010-2039,Summer,9.977729074719562
MRI-CGCM3,rcp85,Recharge Zone,2010-2039,Summer,10.511817681471358
NorESM1-M,rcp85,Recharge Zone,2010-2039,Summer,9.286713039144965
bcc-csm1-1-m,rcp85,Recharge Zone,2040-2069,Summer,6.991308963238714
bcc-csm1-1,rcp85,Recharge Zone,2040-2069,Summer,7.818864926735895
BNU-ESM,rcp85,Recharge Zone,2040-2069,Summer,8.56480381580353
CanESM2,rcp85,Recharge Zone,2040-2069,Summer,8.59106488734603
CCSM4,rcp85,Recharge Zone,2040-2069,Summer,7.880125408508574
CNRM-CM5,rcp85,Recharge Zone,2040-2069,Summer,8.373668555570555
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2040-2069,Summer,9.25157081390799
GFDL-ESM2G,rcp85,Recharge Zone,2040-2069,Summer,8.015696328189343
GFDL-ESM2M,rcp85,Recharge Zone,2040-2069,Summer,9.228259933191383
HadGEM2-CC365,rcp85,Recharge Zone,2040-2069,Summer,8.595243060196834
HadGEM2-ES365,rcp85,Recharge Zone,2040-2069,Summer,5.674686641546306
inmcm4,rcp85,Recharge Zone,2040-2069,Summer,10.107097724982054
IPSL-CM5A-LR,rcp85,Recharge Zone,2040-2069,Summer,7.321513946331594
IPSL-CM5A-MR,rcp85,Recharge Zone,2040-2069,Summer,7.365375360115338
IPSL-CM5B-LR,rcp85,Recharge Zone,2040-2069,Summer,9.05583349905552
MIROC-ESM-CHEM,rcp85,Recharge Zone,2040-2069,Summer,7.950877266009259
MIROC-ESM,rcp85,Recharge Zone,2040-2069,Summer,8.414708700432268
MIROC5,rcp85,Recharge Zone,2040-2069,Summer,9.495535564081491
MRI-CGCM3,rcp85,Recharge Zone,2040-2069,Summer,10.138189595045091
NorESM1-M,rcp85,Recharge Zone,2040-2069,Summer,9.043475277841063
bcc-csm1-1-m,rcp85,Recharge Zone,2070-2099,Summer,6.740075800233555
bcc-csm1-1,rcp85,Recharge Zone,2070-2099,Summer,5.461537530180286
BNU-ESM,rcp85,Recharge Zone,2070-2099,Summer,8.084535642050078
CanESM2,rcp85,Recharge Zone,2070-2099,Summer,7.950631477970551
CCSM4,rcp85,Recharge Zone,2070-2099,Summer,8.206585480966917
CNRM-CM5,rcp85,Recharge Zone,2070-2099,Summer,9.771243127410289
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2070-2099,Summer,10.102756697553778
GFDL-ESM2G,rcp85,Recharge Zone,2070-2099,Summer,6.32004875456148
GFDL-ESM2M,rcp85,Recharge Zone,2070-2099,Summer,8.189267967452665
HadGEM2-CC365,rcp85,Recharge Zone,2070-2099,Summer,6.415267124632375
HadGEM2-ES365,rcp85,Recharge Zone,2070-2099,Summer,6.529199082152639
inmcm4,rcp85,Recharge Zone,2070-2099,Summer,12.260481828608357
IPSL-CM5A-LR,rcp85,Recharge Zone,2070-2099,Summer,6.257404825794345
IPSL-CM5A-MR,rcp85,Recharge Zone,2070-2099,Summer,7.082262479927445
IPSL-CM5B-LR,rcp85,Recharge Zone,2070-2099,Summer,8.511730624289857
MIROC-ESM-CHEM,rcp85,Recharge Zone,2070-2099,Summer,8.437391835476431
MIROC-ESM,rcp85,Recharge Zone,2070-2099,Summer,7.5053530849030805
MIROC5,rcp85,Recharge Zone,2070-2099,Summer,9.30413198036053
MRI-CGCM3,rcp85,Recharge Zone,2070-2099,Summer,7.1432254919584315
NorESM1-M,rcp85,Recharge Zone,2070-2099,Summer,9.13857945522125
bcc-csm1-1-m,rcp45,Contributing Zone,1971-2000,Summer,9.798027331852158
bcc-csm1-1,rcp45,Contributing Zone,1971-2000,Summer,9.108292317334547
BNU-ESM,rcp45,Contributing Zone,1971-2000,Summer,8.039526796153392
CanESM2,rcp45,Contributing Zone,1971-2000,Summer,8.928456563042921
CCSM4,rcp45,Contributing Zone,1971-2000,Summer,9.156324181610886
CNRM-CM5,rcp45,Contributing Zone,1971-2000,Summer,8.79593673486686
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1971-2000,Summer,8.999903938034496
GFDL-ESM2G,rcp45,Contributing Zone,1971-2000,Summer,8.778420132286161
GFDL-ESM2M,rcp45,Contributing Zone,1971-2000,Summer,9.372122631591134
HadGEM2-CC365,rcp45,Contributing Zone,1971-2000,Summer,9.412318407736866
HadGEM2-ES365,rcp45,Contributing Zone,1971-2000,Summer,9.628361785717567
inmcm4,rcp45,Contributing Zone,1971-2000,Summer,9.028880579907085
