macamodel,rcp,zone,period,season,seasonal mean P (in)
MIROC5,rcp85,Recharge Zone,1950-2005,Winter,4.221881827102495
MRI-CGCM3,rcp85,Recharge Zone,1950-2005,Winter,4.1919425340628615
NorESM1-M,rcp85,Recharge Zone,1950-2005,Winter,4.20045397868132
bcc-csm1-1-m,rcp85,Recharge Zone,2010-2039,Winter,4.2634453677586155
bcc-csm1-1,rcp85,Recharge Zone,2010-2039,Winter,4.530541619382332
BNU-ESM,rcp85,Recharge Zone,2010-2039,Winter,4.816074999930391
CanESM2,rcp85,Recharge Zone,2010-2039,Winter,3.5078590102005123
CCSM4,rcp85,Recharge Zone,2010-2039,Winter,4.207859644163366
CNRM-CM5,rcp85,Recharge Zone,2010-2039,Winter,4.445124502969745
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2010-2039,Winter,4.501556916017765
GFDL-ESM2G,rcp85,Recharge Zone,2010-2039,Winter,3.5332499487258646
GFDL-ESM2M,rcp85,Recharge Zone,2010-2039,Winter,3.85529792391642
HadGEM2-CC365,rcp85,Recharge Zone,2010-2039,Winter,4.333560626131299
HadGEM2-ES365,rcp85,Recharge Zone,2010-2039,Winter,4.502189997868478
inmcm4,rcp85,Recharge Zone,2010-2039,Winter,4.346600951010074
IPSL-CM5A-LR,rcp85,Recharge Zone,2010-2039,Winter,3.4655020454517955
IPSL-CM5A-MR,rcp85,Recharge Zone,2010-2039,Winter,3.187736555043611
IPSL-CM5B-LR,rcp85,Recharge Zone,2010-2039,Winter,5.269292325964471
MIROC-ESM-CHEM,rcp85,Recharge Zone,2010-2039,Winter,3.9691737426298683
MIROC-ESM,rcp85,Recharge Zone,2010-2039,Winter,4.279760503233432
MIROC5,rcp85,Recharge Zone,2010-2039,Winter,4.594850150764817
MRI-CGCM3,rcp85,Recharge Zone,2010-2039,Winter,4.0554617775778965
NorESM1-M,rcp85,Recharge Zone,2010-2039,Winter,4.238266238639314
bcc-csm1-1-m,rcp85,Recharge Zone,2040-2069,Winter,4.104123735260884
bcc-csm1-1,rcp85,Recharge Zone,2040-2069,Winter,4.243939914083472
BNU-ESM,rcp85,Recharge Zone,2040-2069,Winter,4.128828209511853
CanESM2,rcp85,Recharge Zone,2040-2069,Winter,3.8147160069900834
CCSM4,rcp85,Recharge Zone,2040-2069,Winter,4.260789226595179
